category	number_of_genes	p_value	fdr	description
HPO	21	3.77e-28	2.39e-25	Almond-shaped palpebral fissure
KEGG	20	6.36e-27	3.56e-25	Base excision repair
HPO	22	9.200000000000001e-28	5.099999999999999e-25	Obsolete Abnormality of the ulna
HPO	34	9.73e-28	5.16e-25	Hematological neoplasm
RCTM	18	1.42e-26	6.099999999999999e-25	Lagging Strand Synthesis
RCTM	23	1.52e-26	6.43e-25	Dual incision in TC-NER
Component	18	7.520000000000001e-27	6.69e-25	DNA polymerase complex
HPO	25	1.5400000000000002e-27	7.52e-25	Aplasia/Hypoplasia of the radius
RCTM	62	1.8600000000000002e-26	7.699999999999999e-25	Generic Transcription Pathway
HPO	52	1.79e-27	8.4e-25	Neoplasm
RCTM	72	2.67e-26	1.09e-24	Disease
HPO	33	2.43e-27	1.09e-24	Weight loss
HPO	51	2.4100000000000003e-27	1.09e-24	Neoplasm by anatomical site
HPO	32	2.54e-27	1.09e-24	Abnormal soft palate morphology
Process	37	5.2900000000000005e-27	1.12e-24	Regulation of response to DNA damage stimulus
HPO	24	2.9e-27	1.18e-24	Forearm undergrowth
HPO	43	2.9400000000000004e-27	1.18e-24	Abnormal cellular physiology
HPO	23	3.3500000000000006e-27	1.2799999999999999e-24	Multiple cafe-au-lait spots
HPO	26	3.66e-27	1.3499999999999999e-24	Myelodysplasia
Process	60	7.420000000000001e-27	1.5499999999999998e-24	Response to abiotic stimulus
HPO	29	4.4600000000000006e-27	1.5999999999999999e-24	Aplasia/Hypoplasia of the testes
Process	23	8.410000000000001e-27	1.74e-24	Homologous recombination
HPO	38	6.2600000000000005e-27	2.18e-24	Hypogonadism
Process	18	1.42e-26	2.88e-24	DNA strand elongation
Process	34	2.04e-26	4.11e-24	Nucleic acid phosphodiester bond hydrolysis
Process	21	2.29e-26	4.54e-24	Replication fork processing
HPO	22	1.5600000000000002e-26	5e-24	Hypoplasia of the ulna
HPO	39	2.3800000000000001e-26	7.44e-24	Deviation of finger
NetworkNeighborAL	19	2.51e-26	8.84e-24	DNA repair complex
RCTM	18	2.46e-25	9.83e-24	Gap-filling DNA repair synthesis and ligation in GG-NER
COMPARTMENTS	17	1.0999999999999999e-25	1.0499999999999999e-23	DNA replication preinitiation complex
DISEASES	23	4.5700000000000005e-27	1.0499999999999999e-23	Congenital hypoplastic anemia
RCTM	22	3.3399999999999997e-25	1.3099999999999999e-23	Gap-filling DNA repair synthesis and ligation in TC-NER
Component	23	2.3599999999999997e-25	2.0099999999999997e-23	Site of double-strand break
Function	44	5.39e-26	2.4199999999999998e-23	ATP-dependent activity
HPO	55	8.53e-26	2.4799999999999997e-23	Abnormality of the male genitalia
HPO	21	9.56e-26	2.71e-23	Bicornuate uterus
Process	28	1.64e-25	3.21e-23	Response to UV
HPO	40	3.0099999999999997e-25	7.989999999999999e-23	Clinodactyly
HPO	29	3.72e-25	9.67e-23	Hypopigmentation of the skin
HPO	27	4.16e-25	1.06e-22	Cafe-au-lait spot
RCTM	18	2.8199999999999997e-24	1.07e-22	Recognition of DNA damage by PCNA-containing replication complex
RCTM	19	3.0999999999999997e-24	1.16e-22	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
HPO	21	5e-25	1.24e-22	Arteriovenous malformation
HPO	39	5.84e-25	1.43e-22	Abnormality of the female genitalia
Component	34	1.84e-24	1.45e-22	Transferase complex, transferring phosphorus-containing groups
COMPARTMENTS	52	1.75e-24	1.61e-22	Transferase complex
HPO	57	6.94e-25	1.66e-22	Microcephaly
HPO	24	8.45e-25	1.95e-22	Spina bifida
HPO	28	9.18e-25	2.07e-22	Sloping forehead
HPO	21	9.33e-25	2.07e-22	Meckel diverticulum
HPO	57	9.84e-25	2.14e-22	Decreased head circumference
WikiPathways	17	3.96e-24	2.38e-22	DNA mismatch repair
WikiPathways	19	4.53e-24	2.5300000000000003e-22	ATM signaling pathway
HPO	21	1.2699999999999999e-24	2.71e-22	Abnormal carotid artery morphology
HPO	24	1.2999999999999998e-24	2.74e-22	Aplasia/Hypoplasia of the iris
HPO	22	1.32e-24	2.74e-22	Hydroureter
RCTM	23	1.0199999999999999e-23	3.75e-22	Switching of origins to a post-replicative state
Process	17	2.2999999999999997e-24	4.44e-22	DNA unwinding involved in DNA replication
HPO	58	2.32e-24	4.56e-22	Short stature
HPO	34	2.73e-24	5.29e-22	Joint dislocation
COMPARTMENTS	69	6.11e-24	5.4e-22	Catalytic complex
HPO	57	3.4099999999999995e-24	6.41e-22	Abnormal reproductive system morphology
HPO	60	3.55e-24	6.56e-22	Abnormality of body height
HPO	49	4.53e-24	8.25e-22	Abnormal testis morphology
Process	20	4.39e-24	8.4e-22	Mitotic G2/M transition checkpoint
COMPARTMENTS	16	1.1099999999999999e-23	9.45e-22	Nuclear replisome
Process	22	6.17e-24	1.1700000000000001e-21	Cellular response to ionizing radiation
HPO	31	6.75e-24	1.21e-21	Microphthalmia
HPO	44	7.61e-24	1.3300000000000001e-21	Cryptorchidism
HPO	33	9.159999999999999e-24	1.57e-21	Hypospadias
HPO	21	9.47e-24	1.6e-21	Triphalangeal thumb
HPO	32	1.2099999999999999e-23	2.0200000000000003e-21	Abnormality of globe size
HPO	21	1.2399999999999999e-23	2.0500000000000003e-21	Tracheoesophageal fistula
HPO	52	1.2399999999999999e-23	2.0500000000000003e-21	Abnormality of male external genitalia
HPO	24	1.47e-23	2.36e-21	Abnormality of the choanae
RCTM	63	6.579999999999999e-23	2.38e-21	Gene expression (Transcription)
HPO	60	2.1699999999999998e-23	3.39e-21	Aplasia/Hypoplasia of the cerebrum
TISSUES	35	1.43e-24	3.47e-21	Cervical carcinoma cell
HPO	41	2.4899999999999998e-23	3.850000000000001e-21	Puberty and gonadal disorders
HPO	61	3.2000000000000003e-23	4.8800000000000004e-21	Abnormality of the genital system
HPO	24	3.75e-23	5.5100000000000004e-21	Anal atresia
Function	20	1.54e-23	6.34e-21	Deoxyribonuclease activity
RCTM	19	1.87e-22	6.680000000000001e-21	Nonhomologous End-Joining (NHEJ)
Process	27	3.6699999999999995e-23	6.7e-21	Negative regulation of mitotic cell cycle phase transition
HPO	59	4.78e-23	6.95e-21	Decreased body weight
COMPARTMENTS	15	8.61e-23	7.080000000000001e-21	Fanconi anaemia nuclear complex
COMPARTMENTS	15	8.61e-23	7.080000000000001e-21	Mre11 complex
HPO	23	5.34e-23	7.670000000000001e-21	Recurrent urinary tract infections
RCTM	17	2.68e-22	9.410000000000001e-21	Termination of translesion DNA synthesis
HPO	44	7.929999999999999e-23	1.11e-20	Micrognathia
HPO	23	7.929999999999999e-23	1.11e-20	Choanal atresia
HPO	44	8.4e-23	1.15e-20	Aplasia/Hypoplasia of the mandible
COMPARTMENTS	15	1.65e-22	1.27e-20	Nonhomologous end joining complex
HPO	24	1.1e-22	1.48e-20	Abnormal uterus morphology
Process	15	8.61e-23	1.55e-20	DNA strand elongation involved in DNA replication
Function	26	4.38e-23	1.66e-20	Helicase activity
HPO	34	1.27e-22	1.71e-20	Abnormality of the urethra
COMPARTMENTS	15	3.09e-22	2.29e-20	Nucleotide-excision repair complex
HPO	44	1.94e-22	2.55e-20	Abnormal long bone morphology
RCTM	16	7.810000000000001e-22	2.7e-20	Polymerase switching on the C-strand of the telomere
HPO	25	3.01e-22	3.9e-20	Clubbing
RCTM	20	1.16e-21	3.96e-20	Orc1 removal from chromatin
HPO	22	3.44e-22	4.42e-20	Azoospermia
HPO	46	3.55e-22	4.51e-20	Abnormal calvaria morphology
HPO	59	4.19e-22	5.27e-20	Abnormality of skull size
HPO	24	4.23e-22	5.27e-20	Short palpebral fissure
Function	16	1.82e-22	6.4e-20	DNA-directed DNA polymerase activity
DISEASES	69	6.53e-23	7.25e-20	Autosomal recessive disease
DISEASES	16	6.31e-23	7.25e-20	Xeroderma pigmentosum
HPO	43	6.1000000000000005e-22	7.51e-20	Abnormality of reproductive system physiology
HPO	23	6.15e-22	7.51e-20	Abnormal spermatogenesis
Function	28	2.34e-22	7.7e-20	Nuclease activity
Component	198	1.4400000000000001e-21	1.09e-19	Intracellular anatomical structure
Process	198	6.23e-22	1.09e-19	Cellular process
HPO	24	9.46e-22	1.14e-19	Abnormal tracheal morphology
HPO	23	1.04e-21	1.24e-19	Abnormal morphology of ulna
HPO	23	1.24e-21	1.46e-19	Facial asymmetry
Process	28	8.56e-22	1.48e-19	Regulation of DNA repair
RCTM	14	4.6e-21	1.55e-19	Processive synthesis on the lagging strand
Keyword	149	2.1800000000000003e-21	1.63e-19	Phosphoprotein
HPO	26	1.4700000000000001e-21	1.73e-19	Abnormal morphology of the radius
COMPARTMENTS	194	2.6300000000000002e-21	1.89e-19	Cellular anatomical entity
COMPARTMENTS	37	2.7200000000000002e-21	1.9e-19	Chromatin
HPO	21	1.78e-21	2.07e-19	External ear malformation
HPO	62	1.82e-21	2.1e-19	Growth delay
Component	47	3.14e-21	2.3e-19	Transferase complex
COMPARTMENTS	21	4.040000000000001e-21	2.73e-19	Site of DNA damage
HPO	62	2.4400000000000002e-21	2.78e-19	Aplasia/Hypoplasia involving the central nervous system
HPO	42	2.51e-21	2.84e-19	Abnormal lower limb bone morphology
Component	14	4.6e-21	3.25e-19	Replisome
HPO	30	3.2100000000000004e-21	3.59e-19	Anorectal anomaly
KEGG	15	8.010000000000001e-21	3.84e-19	Mismatch repair
HPO	21	4.040000000000001e-21	4.48e-19	Leukopenia
HPO	16	4.4900000000000005e-21	4.94e-19	Chromosome breakage
Component	45	7.28e-21	4.97e-19	Intracellular protein-containing complex
NetworkNeighborAL	15	1.73e-21	5.64e-19	Fanconi anaemia nuclear complex, and Fanconi anemia complementation group I
KEGG	24	1.37e-20	5.73e-19	Cellular senescence
HPO	24	5.8200000000000005e-21	6.34e-19	Abnormal localization of kidney
HPO	61	6.430000000000001e-21	6.94e-19	Abnormality of body weight
NetworkNeighborAL	14	2.4e-21	7.33e-19	Fanconi anaemia nuclear complex
NetworkNeighborAL	14	2.4e-21	7.33e-19	CDC6 association with the ORC:origin complex, and Double-strand break repair via break-induced replication
Process	102	4.350000000000001e-21	7.41e-19	Regulation of nucleobase-containing compound metabolic process
HPO	33	7.83e-21	8.38e-19	Abnormal leukocyte count
HPO	22	8.28e-21	8.78e-19	Abnormality of the phalanges of the toes
HPO	26	8.52e-21	8.96e-19	Functional abnormality of male internal genitalia
WikiPathways	17	1.99e-20	1.04e-18	Integrated cancer pathway
HPO	23	1.03e-20	1.05e-18	Abnormal ureter morphology
HPO	26	1.22e-20	1.24e-18	Limb undergrowth
Process	26	8.52e-21	1.44e-18	Meiotic cell cycle process
Process	23	8.8e-21	1.47e-18	Meiosis I cell cycle process
Process	48	9.3e-21	1.54e-18	Nucleobase-containing compound biosynthetic process
HPO	46	1.56e-20	1.56e-18	Abnormal mandible morphology
HPO	24	2.07e-20	2.05e-18	Abnormal esophagus morphology
COMPARTMENTS	19	3.56e-20	2.34e-18	Chromosome, telomeric region
Process	14	1.55e-20	2.53e-18	DNA replication checkpoint signaling
Process	18	1.71e-20	2.76e-18	Response to gamma radiation
HPO	25	3.55e-20	3.49e-18	Abnormality of the anus
HPO	43	3.64e-20	3.55e-18	Localized skin lesion
Process	18	2.24e-20	3.58e-18	Reciprocal meiotic recombination
Keyword	23	6.09e-20	3.97e-18	Helicase
Keyword	57	5.91e-20	3.97e-18	ATP-binding
HPO	27	4.12e-20	3.99e-18	Abnormality of the spinal cord
RCTM	13	1.28e-19	4.23e-18	Removal of the Flap Intermediate
DISEASES	55	5.610000000000001e-21	4.3e-18	Syndrome
HPO	33	4.75e-20	4.56e-18	Abnormal internal genitalia
HPO	39	4.81e-20	4.59e-18	Abnormal penis morphology
Function	60	1.63e-20	4.74e-18	ATP binding
RCTM	14	2.12e-19	6.91e-18	E2F mediated regulation of DNA replication
HPO	18	8.12e-20	7.68e-18	Melanoma
Component	13	1.28e-19	8.43e-18	Fanconi anaemia nuclear complex
COMPARTMENTS	18	1.68e-19	1.07e-17	Site of double-strand break
HPO	39	1.59e-19	1.49e-17	Aplasia/hypoplasia of the extremities
HPO	40	1.63e-19	1.51e-17	Abnormality of the lower urinary tract
HPO	38	1.75e-19	1.6e-17	Aplasia/hypoplasia involving bones of the extremities
HPO	48	1.84e-19	1.68e-17	Aplasia/hypoplasia involving the skeleton
HPO	39	1.87e-19	1.69e-17	Cleft palate
Process	22	1.1e-19	1.73e-17	Meiosis I
RCTM	17	5.91e-19	1.9e-17	Meiotic recombination
HPO	33	2.24e-19	2.01e-17	Reduced bone mineral density
HPO	21	2.49e-19	2.22e-17	Abnormality of enteric ganglion morphology
HPO	21	2.49e-19	2.22e-17	Aganglionic megacolon
HPO	36	2.93e-19	2.53e-17	Abnormal cellular immune system morphology
HPO	36	2.93e-19	2.53e-17	Abnormal leukocyte morphology
HPO	22	3.1e-19	2.65e-17	Decreased fertility in males
HPO	21	4.02e-19	3.4e-17	Abnormal aortic valve morphology
NetworkNeighborAL	13	1.28e-19	3.44e-17	DNA polymerase complex
RCTM	19	1.16e-18	3.68e-17	Meiosis
Process	22	2.69e-19	4.09e-17	Regulation of DNA recombination
HPO	49	4.98e-19	4.19e-17	Abnormal facial skeleton morphology
HPO	28	5.66e-19	4.73e-17	Abnormal tracheobronchial morphology
HPO	39	5.88e-19	4.88e-17	Abnormal bone structure
HPO	23	5.96e-19	4.92e-17	Dolichocephaly
HPO	27	6.49e-19	5.31e-17	Abnormality of femur morphology
RCTM	12	1.85e-18	5.8e-17	HDR through MMEJ (alt-NHEJ)
RCTM	12	1.85e-18	5.8e-17	Unwinding of DNA
HPO	70	7.22e-19	5.83e-17	Growth abnormality
HPO	22	7.23e-19	5.83e-17	Oligohydramnios
RCTM	13	2.12e-18	6.44e-17	Processive synthesis on the C-strand of the telomere
HPO	63	8.68e-19	6.92e-17	Abnormal cerebral morphology
HPO	27	9.37e-19	7.42e-17	Ocular anterior segment dysgenesis
Keyword	73	1.64e-18	9.21e-17	Ubl conjugation
Process	27	6.49e-19	9.78e-17	Regulation of chromosome organization
Component	12	1.85e-18	1.19e-16	DNA replication preinitiation complex
Function	70	5.13e-19	1.26e-16	Nucleotide binding
NetworkNeighborAL	15	5.18e-19	1.32e-16	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase regulator activity
HPO	24	1.72e-18	1.34e-16	Anemia (phenotype)
HPO	44	2.11e-18	1.62e-16	Abnormal hand morphology
Function	15	7.41e-19	1.66e-16	Endodeoxyribonuclease activity
Process	29	1.12e-18	1.67e-16	Response to light stimulus
SMART	14	2.12e-19	1.74e-16	Breast cancer carboxy-terminal domain
HPO	27	2.29e-18	1.74e-16	Abnormal size of the palpebral fissures
HPO	21	2.42e-18	1.82e-16	Tetralogy of Fallot
RCTM	12	6.51e-18	1.95e-16	Polymerase switching
HPO	30	2.67e-18	2e-16	Abnormal morphology of female internal genitalia
Process	21	1.36e-18	2.01e-16	Regulation of DNA biosynthetic process
Component	12	3.53e-18	2.19e-16	Nuclear replisome
COMPARTMENTS	12	3.53e-18	2.2e-16	MCM complex
Process	12	1.85e-18	2.72e-16	Double-strand break repair via break-induced replication
Function	116	1.29e-18	2.78e-16	Catalytic activity
RCTM	15	9.67e-18	2.83e-16	Formation of Incision Complex in GG-NER
HPO	17	4e-18	2.96e-16	Neoplasm of the breast
HPO	48	4.56e-18	3.35e-16	Abnormality of the endocrine system
Process	23	2.91e-18	4.23e-16	Meiotic nuclear division
InterPro	46	6.18e-20	4.44e-16	P-loop containing nucleoside triphosphate hydrolase
InterPro	20	6.95e-20	4.44e-16	Nucleic acid-binding, OB-fold
NetworkNeighborAL	12	1.85e-18	4.46e-16	Resolution of recombination intermediates, and Response to intra-S DNA damage checkpoint signaling
HPO	23	6.5e-18	4.75e-16	Finger syndactyly
Component	57	8.06e-18	4.85e-16	Catalytic complex
HPO	25	7.79e-18	5.62e-16	Umbilical hernia
HPO	24	8.48e-18	6.09e-16	Abnormality of the small intestine
HPO	54	8.6e-18	6.14e-16	Abnormality of the gastrointestinal tract
HPO	26	1.01e-17	7.15e-16	Abnormality of the ureter
HPO	24	1.04e-17	7.33e-16	Toe syndactyly
Process	16	5.49e-18	7.9e-16	Somatic diversification of immune receptors
NetworkNeighborAL	12	3.53e-18	8.08e-16	ATR signaling, and Mitotic DNA replication checkpoint signaling
HPO	28	1.16e-17	8.16e-16	Aplasia/Hypoplasia of fingers
HPO	29	1.17e-17	8.17e-16	Hydrocephalus
HPO	26	1.2e-17	8.32e-16	Upslanted palpebral fissure
COMPARTMENTS	30	1.64e-17	9.93e-16	Nuclear body
Process	15	7.19e-18	1.02e-15	DNA synthesis involved in DNA repair
HPO	25	1.5e-17	1.03e-15	Abnormal umbilicus morphology
HPO	69	1.63e-17	1.12e-15	Abnormality of brain morphology
HPO	35	2.12e-17	1.44e-15	Abnormal bone ossification
HPO	24	2.54e-17	1.72e-15	Proptosis
HPO	24	2.54e-17	1.72e-15	Hip dislocation
Process	14	1.23e-17	1.73e-15	Negative regulation of DNA replication
Keyword	22	3.43e-17	1.77e-15	Dwarfism
HPO	50	2.66e-17	1.78e-15	Abnormal ocular adnexa morphology
HPO	45	2.71e-17	1.81e-15	Abnormality of finger
HPO	39	2.92e-17	1.93e-15	Recurrent infections
InterPro	14	8.2e-19	1.96e-15	BRCT domain superfamily
Function	36	1.17e-17	2.41e-15	Chromatin binding
HPO	71	3.82e-17	2.52e-15	Morphological central nervous system abnormality
Keyword	31	5.56e-17	2.67e-15	Chromosome
HPO	28	4.12e-17	2.7e-15	Abnormal breast morphology
HPO	33	4.25e-17	2.77e-15	Anemia
Component	11	5.13e-17	3e-15	Nucleotide-excision repair complex
Component	11	5.13e-17	3e-15	CMG complex
COMPARTMENTS	11	5.13e-17	3.03e-15	CMG complex
HPO	43	4.86e-17	3.12e-15	Abnormal joint morphology
COMPARTMENTS	20	5.62e-17	3.23e-15	Serine/threonine protein kinase complex
HPO	27	5.1e-17	3.26e-15	Thrombocytopenia
KEGG	11	9.75e-17	3.64e-15	Non-homologous end-joining
HPO	67	5.95e-17	3.78e-15	Abnormality of the genitourinary system
HPO	19	6.12e-17	3.87e-15	Aplasia/Hypoplasia of the thumb
Process	116	2.83e-17	3.92e-15	Regulation of nitrogen compound metabolic process
HPO	52	6.34e-17	3.99e-15	Abnormality of immune system physiology
HPO	63	6.47e-17	4.05e-15	Abnormal skull morphology
COMPARTMENTS	24	7.87e-17	4.42e-15	Chromosomal region
HPO	73	7.23e-17	4.5e-15	Abnormal skeletal morphology
Process	12	3.4e-17	4.68e-15	Mitotic intra-S DNA damage checkpoint signaling
HPO	54	7.87e-17	4.87e-15	Abnormality of limb bone morphology
Function	182	2.51e-17	4.95e-15	Binding
HPO	75	8.08e-17	4.96e-15	Abnormality of the skeletal system
TISSUES	48	4.1e-18	4.97e-15	Leukemia cell
HPO	67	8.73e-17	5.33e-15	Abnormal axial skeleton morphology
HPO	39	9.45e-17	5.73e-15	Unusual infection
DISEASES	78	1.01e-17	5.82e-15	Autosomal genetic disease
HPO	54	1.08e-16	6.47e-15	Abnormality of the nose
HPO	45	1.1e-16	6.59e-15	Abnormal pinna morphology
Process	112	4.98e-17	6.79e-15	Cellular component organization
Function	28	4.43e-17	8.4e-15	ATP hydrolysis activity
WikiPathways	11	1.79e-16	8.71e-15	Homologous recombination
HPO	72	1.56e-16	9.24e-15	Abnormal nervous system morphology
HPO	28	1.56e-16	9.24e-15	Syndactyly
HPO	20	1.58e-16	9.25e-15	Abnormality of multiple cell lineages in the bone marrow
HPO	21	1.6e-16	9.37e-15	Abnormality of bone marrow cell morphology
Process	17	7.07e-17	9.56e-15	Protein monoubiquitination
NetworkNeighborAL	11	5.13e-17	1.07e-14	Nonhomologous end joining complex
HPO	27	1.93e-16	1.11e-14	Abnormal platelet count
NetworkNeighborAL	12	5.63e-17	1.12e-14	Nonhomologous end joining complex, and Mismatch repair complex
Process	55	9.21e-17	1.23e-14	Intracellular signal transduction
NetworkNeighborAL	13	6.84e-17	1.25e-14	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
Process	11	9.75e-17	1.3e-14	Mitotic DNA replication
HPO	24	2.3e-16	1.32e-14	Astigmatism
HPO	22	2.35e-16	1.35e-14	Abnormality of thumb phalanx
HPO	25	3.27e-16	1.85e-14	Cranial nerve paralysis
Process	22	1.4e-16	1.85e-14	Cell cycle phase transition
TISSUES	31	2.34e-17	1.89e-14	Lymphocytic leukemia cell
Process	12	1.44e-16	1.89e-14	Mitotic recombination
HPO	24	3.84e-16	2.16e-14	Decreased fertility
Keyword	19	4.88e-16	2.19e-14	Nuclease
WikiPathways	21	4.83e-16	2.22e-14	Primary ovarian insufficiency
Process	11	1.79e-16	2.31e-14	Positive regulation of DNA-directed DNA polymerase activity
InterPro	13	1.36e-17	2.44e-14	BRCT domain
Process	27	1.93e-16	2.46e-14	Nuclear division
HPO	25	4.49e-16	2.51e-14	Neoplasm by histology
Process	13	2.02e-16	2.56e-14	Mismatch repair
Process	14	2.06e-16	2.58e-14	Somatic diversification of immunoglobulins
RCTM	11	9.08e-16	2.59e-14	Translesion synthesis by REV1
WikiPathways	14	6.07e-16	2.63e-14	ATM signaling in development and disease 
HPO	49	5.2e-16	2.89e-14	Abnormal digit morphology
NetworkNeighborAL	16	1.69e-16	2.98e-14	Mixed, incl. G1 Phase, and G0 and Early G1
HPO	32	6.1e-16	3.35e-14	Aplasia/hypoplasia involving bones of the upper limbs
Process	116	2.76e-16	3.44e-14	Regulation of primary metabolic process
Process	13	2.85e-16	3.52e-14	Response to X-ray
HPO	56	6.84e-16	3.74e-14	Abnormality of skin morphology
Keyword	11	9.08e-16	3.81e-14	DNA-directed DNA polymerase
Process	11	3.16e-16	3.87e-14	Base-excision repair, gap-filling
Keyword	58	9.84e-16	3.89e-14	Nucleotide-binding
SMART	20	9.48e-17	3.89e-14	ATPases associated with a variety of cellular activities
RCTM	11	1.48e-15	4.18e-14	Translesion synthesis by POLK
RCTM	11	1.48e-15	4.18e-14	Removal of the Flap Intermediate from the C-strand
RCTM	11	1.48e-15	4.18e-14	Translesion synthesis by POLI
HPO	27	7.71e-16	4.2e-14	Abnormality of the peripheral nervous system
HPO	31	8.2e-16	4.43e-14	Aplasia/hypoplasia involving bones of the hand
HPO	40	8.2e-16	4.43e-14	Morphological abnormality of the gastrointestinal tract
HPO	56	8.61e-16	4.61e-14	Abnormality of the urinary system
HPO	26	8.96e-16	4.77e-14	Abnormality of the hypothalamus-pituitary axis
NetworkNeighborAL	13	2.85e-16	4.83e-14	Base excision repair, and DNA topological change
HPO	40	9.54e-16	5.06e-14	Abnormality of digestive system morphology
HPO	33	9.77e-16	5.12e-14	Abnormality of lower limb joint
WikiPathways	10	1.42e-15	5.84e-14	Non-homologous end joining
Process	11	5.43e-16	6.55e-14	Regulation of DNA-templated DNA replication initiation
HPO	18	1.27e-15	6.62e-14	Telangiectasia
HPO	53	1.28e-15	6.62e-14	Abnormality of the lower limb
HPO	49	1.3e-15	6.72e-14	Abnormality of connective tissue
Process	17	5.76e-16	6.9e-14	Cellular response to UV
Function	61	4.42e-16	7.78e-14	Purine nucleotide binding
COMPARTMENTS	10	1.42e-15	7.78e-14	GINS complex
Function	61	4.74e-16	8.07e-14	Ribonucleotide binding
HPO	25	1.63e-15	8.31e-14	Abnormal hip joint morphology
Process	13	7.52e-16	8.86e-14	Mitotic G2 DNA damage checkpoint signaling
HPO	24	1.8e-15	9.17e-14	Renal hypoplasia/aplasia
Process	13	1.02e-15	1.18e-13	Postreplication repair
HPO	26	2.53e-15	1.28e-13	Frontal bossing
TISSUES	49	2.15e-16	1.3e-13	Blood cancer cell
HPO	26	2.7e-15	1.36e-13	Abnormal shape of the frontal region
HPO	26	2.89e-15	1.45e-13	Abnormal thumb morphology
Process	54	1.31e-15	1.49e-13	Negative regulation of nucleobase-containing compound metabolic process
Function	11	9.08e-16	1.49e-13	DNA replication origin binding
Process	19	1.34e-15	1.51e-13	Regulation of double-strand break repair
HPO	59	3.52e-15	1.75e-13	Abnormality of the skin
HPO	42	3.55e-15	1.76e-13	Abnormal facial shape
HPO	71	3.75e-15	1.85e-13	Abnormality of the face
HPO	31	4.35e-15	2.13e-13	Abnormal pelvic girdle bone morphology
HPO	61	4.47e-15	2.17e-13	Abnormality of limbs
HPO	27	4.67e-15	2.26e-13	Hernia of the abdominal wall
HPO	35	4.77e-15	2.3e-13	Abnormal intestine morphology
NetworkNeighborAL	10	1.42e-15	2.32e-13	CMG complex, and Replication fork arrest
HPO	22	5.14e-15	2.47e-13	Abnormality of the autonomic nervous system
HPO	14	5.2e-15	2.49e-13	Breast carcinoma
HPO	34	5.5e-15	2.62e-13	High palate
HPO	27	5.96e-15	2.83e-13	Abdominal wall defect
HPO	35	6.4e-15	3.03e-13	Abnormality of the palpebral fissures
HPO	55	6.58e-15	3.1e-13	Abnormality of the immune system
HPO	33	6.73e-15	3.16e-13	Slanting of the palpebral fissure
Function	18	2.19e-15	3.27e-13	Nucleotidyltransferase activity
RCTM	17	1.27e-14	3.45e-13	Assembly of the pre-replicative complex
HPO	34	7.46e-15	3.49e-13	Cataract
WikiPathways	17	9.71e-15	3.79e-13	Androgen receptor network in prostate cancer
RCTM	10	1.46e-14	3.91e-13	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
HPO	24	8.73e-15	4.06e-13	Renal insufficiency
HPO	43	1e-14	4.65e-13	Abnormal eyelid morphology
Function	18	3.24e-15	4.7e-13	Endonuclease activity
RCTM	14	1.82e-14	4.84e-13	DNA Damage/Telomere Stress Induced Senescence
HPO	30	1.11e-14	5.14e-13	Abnormal cerebrospinal fluid morphology
HPO	23	1.15e-14	5.28e-13	Abnormal heart valve morphology
Process	10	4.89e-15	5.47e-13	T-circle formation
HPO	43	1.33e-14	6.11e-13	Abnormal respiratory system morphology
Process	13	5.57e-15	6.11e-13	Somatic diversification of immune receptors via germline recombination within a single locus
HPO	29	1.45e-14	6.61e-13	Abnormal hip bone morphology
DISEASES	15	1.3e-15	6.62e-13	Breast cancer
RCTM	14	2.7e-14	7.01e-13	TP53 Regulates Transcription of DNA Repair Genes
HPO	64	1.68e-14	7.63e-13	Abnormality of the integument
Process	20	7.1e-15	7.68e-13	Mitotic cell cycle phase transition
NetworkNeighborAL	10	4.89e-15	7.71e-13	BRCA1-C complex, and NIPBL role in DNA damage - Cornelia de Lange syndrome
HPO	21	1.71e-14	7.74e-13	Abnormal ventriculoarterial connection
Process	16	7.24e-15	7.77e-13	Cell cycle G1/S phase transition
Keyword	80	2.28e-14	8.53e-13	Acetylation
NetworkNeighborAL	11	5.7e-15	8.69e-13	Base excision repair
HPO	73	1.98e-14	8.88e-13	Abnormality of the head
Process	117	8.4e-15	8.96e-13	Regulation of macromolecule metabolic process
TISSUES	39	2.01e-15	9.74e-13	Embryo
HPO	42	2.29e-14	1.02e-12	Abnormal palate morphology
HPO	27	2.31e-14	1.03e-12	Abnormal systemic arterial morphology
Process	15	1.06e-14	1.12e-12	Positive regulation of DNA biosynthetic process
HPO	28	2.51e-14	1.12e-12	Hernia
HPO	29	2.69e-14	1.19e-12	External genital hypoplasia
HPO	34	2.74e-14	1.2e-12	Abnormal cornea morphology
HPO	27	2.74e-14	1.2e-12	Abnormal upper limb bone morphology
WikiPathways	9	3.93e-14	1.46e-12	ATR signaling
Process	110	1.39e-14	1.46e-12	Regulation of cellular metabolic process
TISSUES	22	4.33e-15	1.75e-12	Pronephros
Function	11	1.28e-14	1.8e-12	DNA damage sensor activity
HPO	47	4.19e-14	1.82e-12	Abnormality of the hand
HPO	24	4.28e-14	1.86e-12	Pes planus
