category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO:0042575	17	19	9606	POLE2,CHRAC1,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,POLD2,MCM3,PRIM2	POLE2,CHRAC1,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,POLD2,MCM3,PRIM2	1.63e-33	1.67e-30	DNA polymerase complex
PMID	PMID:28630177	20	37	9606	CDC6,POLE2,ORC6,GMNN,MCM4,GINS1,CCNE1,MCM6,POLA2,CDT1,DONSON,ORC1,CDK1,CDKN1A,MCM10,CCNE2,ORC4,MCM3,CCNA2,PRIM2	CDC6,POLE2,ORC6,GMNN,MCM4,GINS1,CCNE1,MCM6,POLA2,CDT1,DONSON,ORC1,CDK1,CDKN1A,MCM10,CCNE2,ORC4,MCM3,CCNA2,PRIM2	3.79e-36	3.32e-30	(2017) Integrated genome and transcriptome sequencing identifies a noncoding mutation in the genome replication factor DONSON as the cause of microcephaly-micromelia syndrome.
COMPARTMENTS	GOCC:0042575	17	22	9606	POLE2,CHRAC1,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,POLD2,MCM3,PRIM2	POLE2,CHRAC1,MAD2L2,POLD3,POLA2,POLE,PRIM1,REV3L,POLE3,POLA1,CRCP,POLG,POLE4,POLG2,POLD2,MCM3,PRIM2	9.6e-33	4.4199999999999995e-30	DNA polymerase complex
PMID	PMID:32089988	20	39	9606	CDC6,MCM5,CCNA1,CDK4,MCM4,MCM6,CDK2,TICRR,CDT1,CDC25A,MCM7,WDHD1,MCM8,CDC7,GINS3,MCM10,CCNE2,MCM3,CCNA2,MCM8-2	CDC6,MCM5,CCNA1,CDK4,MCM4,MCM6,CDK2,TICRR,CDT1,CDC25A,MCM7,WDHD1,MCM8,CDC7,GINS3,MCM10,CCNE2,MCM3,CCNA2,MCM8-2	8.720000000000001e-36	6.36e-30	(2020) MCMs in Cancer: Prognostic Potential and Mechanisms.
COMPARTMENTS	GOCC:0005634	63	4787	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	6.170000000000001e-32	2.3600000000000002e-29	Nucleus
COMPARTMENTS	GOCC:0031261	16	17	9606	MCM5,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,GINS3,MCM10,MCM3	MCM5,GINS2,ORC3,MCM4,GINS1,MCM6,MCM2,DBF4,TICRR,GINS4,CDT1,MCM7,WDHD1,GINS3,MCM10,MCM3	8.28e-32	2.72e-29	DNA replication preinitiation complex
RCTM	HSA-68949	20	70	9606	CDC6,MCM5,RBX1,ORC6,ORC2,CCNA1,ORC3,MCM4,MCM6,MCM2,CDK2,SKP2,ORC5,CDT1,MCM7,ORC1,MCM8,ORC4,MCM3,CCNA2	CDC6,MCM5,RBX1,ORC6,ORC2,CCNA1,ORC3,MCM4,MCM6,MCM2,CDK2,SKP2,ORC5,CDT1,MCM7,ORC1,MCM8,ORC4,MCM3,CCNA2	1.48e-31	2.81e-29	Orc1 removal from chromatin
COMPARTMENTS	GOCC:0070013	54	2902	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,POLA1,CDK1,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2	9.83e-32	2.83e-29	Intracellular organelle lumen
PMID	PMID:28467790	21	58	9606	CDC6,ORC6,GMNN,CCNA1,ORC3,CDK4,MCM4,POLD3,MCM6,CDK2,CDT1,MCM7,E2F1,MCM8,GINS3,MCM10,CCNE2,POLD2,MCM3,CCNA2,MCM8-2	CDC6,ORC6,GMNN,CCNA1,ORC3,CDK4,MCM4,POLD3,MCM6,CDK2,CDT1,MCM7,E2F1,MCM8,GINS3,MCM10,CCNE2,POLD2,MCM3,CCNA2,MCM8-2	5.52e-35	3.4600000000000003e-29	(2017) The synthetic antihyperlipidemic drug potassium piperate selectively kills breast cancer cells through inhibiting G1-S-phase transition and inducing apoptosis.
PMID	PMID:28717046	18	25	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,MCM7,WDHD1,CDC7,GINS3,MCM10,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,MCM7,WDHD1,CDC7,GINS3,MCM10,ORC4,MCM3	2.9899999999999998e-34	1.64e-28	(2017) From structure to mechanism-understanding initiation of DNA replication.
RCTM	HSA-69190	17	32	9606	MCM5,GINS2,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,MCM7,PRIM1,MCM8,POLA1,GINS3,POLD2,MCM3,PRIM2	MCM5,GINS2,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,GINS4,MCM7,PRIM1,MCM8,POLA1,GINS3,POLD2,MCM3,PRIM2	1.19e-30	2.09e-28	DNA strand elongation
Process	GO:0043170	66	5781	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	1.76e-31	2.13e-28	Macromolecule metabolic process
KEGG	hsa03030	17	36	9606	MCM5,POLE2,MCM4,POLD3,MCM6,MCM2,POLA2,MCM7,POLE,PRIM1,RPA4,POLE3,POLA1,POLE4,POLD2,MCM3,PRIM2	MCM5,POLE2,MCM4,POLD3,MCM6,MCM2,POLA2,MCM7,POLE,PRIM1,RPA4,POLE3,POLA1,POLE4,POLD2,MCM3,PRIM2	5.8699999999999996e-30	9.859999999999999e-28	DNA replication
Component	GO:0031981	61	4526	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	1.58e-30	1.0800000000000001e-27	Nuclear lumen
Component	GO:0005654	59	4169	9606	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	CDC6,MCM5,RBX1,POLE2,ORC6,GMNN,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,MCM7,POLE,E2F1,PRIM1,REV3L,MCMBP,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,ELOC,POLD2,MCM3,CCNA2,PRIM2	7.249999999999999e-30	3.7100000000000005e-27	Nucleoplasm
PMID	PMID:19482602	18	33	9606	CDC6,ORC6,CCNA1,MCM4,DBF4,CDK2,TICRR,SKP2,GINS4,CDT1,CDC25A,MCM7,DTL,CDK1,CDC7,GINS3,MCM3,CCNA2	CDC6,ORC6,CCNA1,MCM4,DBF4,CDK2,TICRR,SKP2,GINS4,CDT1,CDC25A,MCM7,DTL,CDK1,CDC7,GINS3,MCM3,CCNA2	1.3500000000000002e-32	6.55e-27	(2009) Replication licensing and the DNA damage checkpoint.
COMPARTMENTS	GOCC:0032991	63	5325	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	3.91e-29	8.18e-27	Protein-containing complex
Process	GO:1903047	31	537	9606	CDC6,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	CDC6,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	1.0400000000000001e-29	1.16e-26	Mitotic cell cycle process
Component	GO:0061695	26	299	9606	POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,CCNE1,POLD3,POLA2,CDK6,CDK2,POLE,PRIM1,REV3L,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,POLE4,CCNE2,POLG2,POLD2,MCM3,CCNA2,PRIM2	POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,CCNE1,POLD3,POLA2,CDK6,CDK2,POLE,PRIM1,REV3L,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,POLE4,CCNE2,POLG2,POLD2,MCM3,CCNA2,PRIM2	5.58e-29	2.29e-26	Transferase complex, transferring phosphorus-containing groups
RCTM	HSA-69620	25	272	9606	CDC6,MCM5,ORC6,ORC2,CCNA1,ORC3,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDK1,CDKN1A,CDC7,MCM10,CCNE2,ORC4,MCM3,CCNA2	CDC6,MCM5,ORC6,ORC2,CCNA1,ORC3,MCM4,CCNE1,MCM6,MCM2,DBF4,CDK2,ORC5,CDC25A,MCM7,ORC1,MCM8,CDK1,CDKN1A,CDC7,MCM10,CCNE2,ORC4,MCM3,CCNA2	2.18e-28	3.55e-26	Cell Cycle Checkpoints
Process	GO:0090329	18	57	9606	MCM5,GMNN,GINS2,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,CDT1,DONSON,MCM7,CDC7,GINS3,POLG2,MCM3	MCM5,GMNN,GINS2,MCM4,GINS1,MCM6,MCM2,DBF4,CDK2,TICRR,GINS4,CDT1,DONSON,MCM7,CDC7,GINS3,POLG2,MCM3	4.35e-29	4.5500000000000003e-26	Regulation of DNA-templated DNA replication
Process	GO:0000278	32	631	9606	CDC6,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,WDHD1,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	CDC6,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,POLE,E2F1,WDHD1,DTL,ORC1,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,CCNE2,MCM3,CCNA2	4.6400000000000004e-29	4.5500000000000003e-26	Mitotic cell cycle
COMPARTMENTS	GOCC:0061695	26	322	9606	POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,CCNE1,POLD3,POLA2,CDK6,CDK2,POLE,PRIM1,REV3L,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,POLE4,CCNE2,POLG2,POLD2,MCM3,CCNA2,PRIM2	POLE2,CHRAC1,MAD2L2,CCNA1,CDK4,CCNE1,POLD3,POLA2,CDK6,CDK2,POLE,PRIM1,REV3L,POLE3,POLA1,CDK1,CRCP,CDKN1A,POLG,POLE4,CCNE2,POLG2,POLD2,MCM3,CCNA2,PRIM2	3.37e-28	6.47e-26	Transferase complex, transferring phosphorus-containing groups
Process	GO:0007049	39	1246	9606	CDC6,MCM5,GMNN,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,MCM7,POLE,E2F1,MCMBP,WDHD1,DTL,ORC1,MCM8,POLA1,CDK1,CDKN1A,CDC7,GINS3,MCMDC2,CUL2,CDKN2A,CCNE2,MCM3,CCNA2	CDC6,MCM5,GMNN,MAD2L2,CCNA1,CDK4,MCM4,GINS1,CCNE1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,CDT1,CDC25A,DONSON,MCM7,POLE,E2F1,MCMBP,WDHD1,DTL,ORC1,MCM8,POLA1,CDK1,CDKN1A,CDC7,GINS3,MCMDC2,CUL2,CDKN2A,CCNE2,MCM3,CCNA2	1.38e-28	1.27e-25	Cell cycle
PMID	PMID:30241373	20	74	9606	CDC6,MCM5,ORC6,GMNN,CCNA1,MCM4,MCM6,DBF4,CDK2,TICRR,SKP2,CDT1,CDC25A,MCM7,DTL,CDK1,CDC7,MCM10,ORC4,CCNA2	CDC6,MCM5,ORC6,GMNN,CCNA1,MCM4,MCM6,DBF4,CDK2,TICRR,SKP2,CDT1,CDC25A,MCM7,DTL,CDK1,CDC7,MCM10,ORC4,CCNA2	3.88e-31	1.7e-25	(2018) Control of DNA Replication Initiation by Ubiquitin.
Process	GO:0006974	33	744	9606	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,DTL,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,MCMDC2,MCM10,POLG2,POLD2,MCM3	MCM5,RBX1,POLE2,MAD2L2,GINS2,MCM4,POLD3,MCM6,MCM2,CDK2,TICRR,GINS4,DONSON,MCM7,MCM9,POLE,E2F1,REV3L,WDHD1,DTL,RPA4,POLE3,MCM8,POLA1,CDK1,CDKN1A,CDC7,POLG,MCMDC2,MCM10,POLG2,POLD2,MCM3	2.95e-28	2.57e-25	Cellular response to DNA damage stimulus
PMID	PMID:19787080	17	31	9606	CDC6,MCM5,CCNA1,ORC3,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,ORC1,CDK1,CDKN1A,CDC7,MCM10,MCM3,CCNA2	CDC6,MCM5,CCNA1,ORC3,MCM4,MCM6,DBF4,CDK2,CDT1,MCM7,ORC1,CDK1,CDKN1A,CDC7,MCM10,MCM3,CCNA2	7.810000000000001e-31	3.11e-25	(2008) Butyrate induced cell cycle arrest in bovine cells through targeting gene expression relevant to DNA replication apparatus.
COMPARTMENTS	GOCC:0005654	37	1146	9606	CDC6,MCM5,RBX1,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,CDT1,CDC25A,MCM7,E2F1,WDHD1,POLE3,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,MCM10,CDKN2A,POLE4,ELOC,MCM3,CCNA2	CDC6,MCM5,RBX1,GINS2,CCNA1,ORC3,CDK4,MCM4,ELOB,GINS1,MCM6,MCM2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,CDT1,CDC25A,MCM7,E2F1,WDHD1,POLE3,POLA1,CDK1,CDKN1A,CDC7,GINS3,CUL2,MCM10,CDKN2A,POLE4,ELOC,MCM3,CCNA2	2.4100000000000003e-27	4.27e-25	Nucleoplasm
Process	GO:0044237	66	6568	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDKN1A,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	6.4699999999999995e-28	5.34e-25	Cellular metabolic process
PMID	PMID:32970141	18	46	9606	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,MCM7,WDHD1,POLE3,MCM10,POLE4,ORC4,MCM3	CDC6,MCM5,ORC6,ORC3,MCM4,MCM6,DBF4,TICRR,GINS4,ORC5,CDT1,MCM7,WDHD1,POLE3,MCM10,POLE4,ORC4,MCM3	1.68e-30	6.14e-25	(2020) Molecular mechanisms of eukaryotic origin initiation, replication fork progression, and chromatin maintenance.
PMID	PMID:33005013	21	104	9606	CDC6,RBX1,CCNA1,CDK4,MCM4,ELOB,CDK6,CDK2,CDT1,CDC25A,MCM7,MCMBP,DTL,CDK1,CUL2,MCM10,CDKN2A,CCNE2,ELOC,MCM3,CCNA2	CDC6,RBX1,CCNA1,CDK4,MCM4,ELOB,CDK6,CDK2,CDT1,CDC25A,MCM7,MCMBP,DTL,CDK1,CUL2,MCM10,CDKN2A,CCNE2,ELOC,MCM3,CCNA2	2.38e-30	8.03e-25	(2020) Regulation of cell cycle drivers by Cullin-RING ubiquitin ligases.
Process	GO:0006807	66	6643	9606	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	CDC6,MCM5,RBX1,POLE2,ORC6,CHRAC1,GMNN,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,ELOB,GINS1,CCNE1,POLD3,MCM6,MCM2,POLA2,DBF4,CDK6,CDK2,RB1,TICRR,SKP2,GINS4,ORC5,LRR1,CDT1,CDC25A,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,REV3L,MCMBP,RRM2,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,CRCP,CDC7,POLG,GINS3,MCMDC2,CUL2,MCM10,CDKN2A,POLE4,CCNE2,ORC4,POLG2,ELOC,POLD2,MCM3,CCNA2,PRIM2,MCM8-2	1.34e-27	1.05e-24	Nitrogen compound metabolic process
Component	GO:0005694	43	1850	9606	MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,CDK2,RB1,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLD2,MCM3,PRIM2,MCM8-2	MCM5,POLE2,ORC6,CHRAC1,ORC2,MAD2L2,GINS2,ORC3,CDK4,MCM4,GINS1,POLD3,MCM6,MCM2,POLA2,CDK2,RB1,GINS4,ORC5,CDT1,DONSON,MCM7,MCM9,POLE,E2F1,PRIM1,WDHD1,DTL,ORC1,RPA4,POLE3,MCM8,POLA1,CDK1,GINS3,MCM10,CDKN2A,POLE4,ORC4,POLD2,MCM3,PRIM2,MCM8-2	5.8e-27	1.98e-24	Chromosome
PMID	PMID:29651420	17	38	9606	CDC6,MCM5,CCNA1,MCM4,MCM6,CDK2,TICRR,GINS4,CDT1,CDC25A,MCM7,WDHD1,CDC7,GINS3,MCM10,MCM3,CCNA2	CDC6,MCM5,CCNA1,MCM4,MCM6,CDK2,TICRR,GINS4,CDT1,CDC25A,MCM7,WDHD1,CDC7,GINS3,MCM10,MCM3,CCNA2	1.2300000000000001e-29	3.86e-24	(2018) The Human Replicative Helicase, the CMG Complex, as a Target for Anti-cancer Therapy.
RCTM	HSA-113510	14	22	9606	ORC6,ORC2,ORC3,POLA2,RB1,ORC5,E2F1,PRIM1,ORC1,MCM8,POLA1,CDK1,ORC4,PRIM2	ORC6,ORC2,ORC3,POLA2,RB1,ORC5,E2F1,PRIM1,ORC1,MCM8,POLA1,CDK1,ORC4,PRIM2	3.49e-26	5.31e-24	E2F mediated regulation of DNA replication
PMID	PMID:32830194	16	27	9606	MCM5,ORC6,ORC3,MCM4,MCM6,GINS4,ORC5,MCM7,MCM9,MCM8,CDC7,MCMDC2,MCM10,ORC4,MCM3,MCM8-2	MCM5,ORC6,ORC3,MCM4,MCM6,GINS4,ORC5,MCM7,MCM9,MCM8,CDC7,MCMDC2,MCM10,ORC4,MCM3,MCM8-2	1.8300000000000002e-29	5.35e-24	(2020) Expression Profile and Prognostic Values of Mini-Chromosome Maintenance Families (MCMs) in Breast Cancer.
