category	number_of_genes	p_value	fdr	description
HPO	15	2.06e-07	4.56e-05	Abnormality of skull size
Function	6	2.79e-07	4.59e-05	ATP-dependent activity, acting on DNA
Function	31	3.23e-07	4.98e-05	Ion binding
Function	7	3.65e-07	5.45e-05	Protein C-terminus binding
RCTM	16	8e-07	5.53e-05	Disease
HPO	8	2.92e-07	6.15e-05	Abnormality of the vasculature of the eye
COMPARTMENTS	8	8.4e-07	6.44e-05	Transferase complex, transferring phosphorus-containing groups
Keyword	23	1.82e-06	6.44e-05	Metal-binding
RCTM	12	9.69e-07	6.51e-05	Infectious disease
HPO	5	3.21e-07	6.65e-05	Squamous cell carcinoma
HPO	9	3.24e-07	6.65e-05	Thickened skin
Keyword	6	2.06e-06	6.91e-05	Lyase
Process	15	3.64e-07	7.23e-05	Macromolecule biosynthetic process
HPO	4	3.71e-07	7.3e-05	Colorectal polyposis
HPO	7	3.65e-07	7.3e-05	Immunodeficiency
HPO	7	3.77e-07	7.31e-05	Alopecia
Function	5	5.13e-07	7.43e-05	DNA helicase activity
Component	7	1.05e-06	7.44e-05	protein-DNA complex
HPO	10	4.01e-07	7.64e-05	Puberty and gonadal disorders
HPO	5	4.08e-07	7.66e-05	Melanocytic nevus
Function	16	5.78e-07	8.14e-05	Double-stranded DNA binding
Function	3	6.57e-07	9e-05	5-deoxyribose-5-phosphate lyase activity
RCTM	4	1.44e-06	9.38e-05	Termination of translesion DNA synthesis
HPO	5	5.13e-07	9.48e-05	Intellectual disability, progressive
DISEASES	3	2.36e-07	9.84e-05	Severe combined immunodeficiency with sensitivity to ionizing radiation
DISEASES	3	2.36e-07	9.84e-05	DNA ligase IV deficiency
TISSUES	10	4.28e-08	0.0001	Lymphocytic leukemia cell
Keyword	6	3.21e-06	0.0001	Dwarfism
HPO	20	6.03e-07	0.00011	Abnormality of the face
HPO	13	7.07e-07	0.00012	Abnormality of the endocrine system
Process	4	5.87e-07	0.00012	Translesion synthesis
HPO	13	7.85e-07	0.00013	Microcephaly
HPO	9	7.69e-07	0.00013	Abnormality of skin pigmentation
Process	3	6.57e-07	0.00013	Error-free translesion synthesis
Process	6	6.84e-07	0.00013	Positive regulation of DNA repair
Process	3	6.57e-07	0.00013	Double-strand break repair via alternative nonhomologous end joining
COMPARTMENTS	3	1.93e-06	0.00014	PCNA complex
HPO	18	8.89e-07	0.00014	Abnormality of the genitourinary system
HPO	13	8.52e-07	0.00014	Decreased head circumference
Process	6	7.78e-07	0.00014	Regulation of DNA recombination
Keyword	5	4.67e-06	0.00014	ADP-ribosylation
KEGG	4	2.22e-06	0.00015	DNA replication
DISEASES	3	4.11e-07	0.00015	Spinocerebellar ataxia type 1 with axonal neuropathy
Process	6	8.82e-07	0.00016	Regulation of double-strand break repair
HPO	14	9.94e-07	0.00016	Aplasia/Hypoplasia of the cerebrum
RCTM	6	2.81e-06	0.00017	SUMO E3 ligases SUMOylate target proteins
Process	3	9.84e-07	0.00018	Double-strand break repair via classical nonhomologous end joining
Process	4	1e-06	0.00018	Cellular response to gamma radiation
NetworkNeighborAL	3	6.57e-07	0.00018	Xeroderma pigmentosum group A, and XFE progeroid syndrome
Process	3	9.84e-07	0.00018	Mitochondrial DNA repair
HPO	15	1.22e-06	0.00019	Aplasia/Hypoplasia involving the central nervous system
Component	9	2.89e-06	0.00019	Transcription regulator complex
Process	5	1.16e-06	0.0002	Cellular response to ionizing radiation
HPO	8	1.33e-06	0.0002	Hypogonadism
HPO	10	1.45e-06	0.00022	Cryptorchidism
HPO	14	1.51e-06	0.00022	Abnormality of immune system physiology
HPO	5	1.57e-06	0.00023	Thin skin
HPO	9	1.59e-06	0.00023	Dysarthria
HPO	11	1.62e-06	0.00023	Abnormal cerebellum morphology
HPO	11	1.72e-06	0.00024	Abnormal testis morphology
WikiPathways	5	2.72e-06	0.00024	p53 transcriptional gene network
Function	3	1.93e-06	0.00024	Oxidized DNA binding
Component	27	3.86e-06	0.00025	Intracellular non-membrane-bounded organelle
HPO	12	1.95e-06	0.00026	Increased inflammatory response
HPO	11	2.26e-06	0.00029	Abnormal external nose morphology
HPO	11	2.4e-06	0.00031	Generalized abnormality of skin
HPO	3	2.57e-06	0.00032	Numerous pigmented freckles
Process	3	1.93e-06	0.00033	Pyrimidine dimer repair
HPO	9	2.84e-06	0.00035	Reduced tendon reflexes
Process	46	2.14e-06	0.00036	Cellular process
InterPro	4	1.5e-07	0.00036	DNA/RNA polymerase superfamily
RCTM	3	6.49e-06	0.00036	IRF3-mediated induction of type I IFN
Component	7	6.39e-06	0.00038	Transferase complex, transferring phosphorus-containing groups
TISSUES	4	3.15e-07	0.00038	Skin fibroblast cell line
HPO	15	3.18e-06	0.00039	Abnormality of the urinary system
HPO	3	3.33e-06	0.0004	Abnormality of amino acid metabolism
DISEASES	5	1.23e-06	0.0004	Combined immunodeficiency
HPO	10	3.41e-06	0.00041	Abnormal hair quantity
HPO	11	3.49e-06	0.00041	Ataxia
RCTM	3	7.86e-06	0.00042	Removal of the Flap Intermediate
InterPro	3	2.36e-07	0.00042	PNK, FHA domain
InterPro	3	4.11e-07	0.00042	DNA polymerase, thumb domain superfamily
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent, N-terminal domain superfamily
InterPro	3	4.11e-07	0.00042	DNA polymerase beta, thumb domain
InterPro	3	4.11e-07	0.00042	DNA polymerase beta, palm domain
InterPro	3	6.57e-07	0.00042	DNA polymerase lambda lyase domain superfamily
InterPro	3	4.11e-07	0.00042	DNA polymerase family X
InterPro	3	4.11e-07	0.00042	DNA polymerase family X, binding site
InterPro	3	4.11e-07	0.00042	DNA polymerase lambda, fingers domain
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent, conserved site
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent, C-terminal
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent, central
Process	22	2.57e-06	0.00042	Organelle organization
RCTM	3	7.86e-06	0.00042	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent
InterPro	3	4.11e-07	0.00042	DNA polymerase beta-like, N-terminal domain
InterPro	3	2.36e-07	0.00042	DNA ligase, ATP-dependent, N-terminal
InterPro	3	4.11e-07	0.00042	DNA-directed DNA polymerase X
HPO	13	3.77e-06	0.00043	Abnormal nasal morphology
HPO	18	3.71e-06	0.00043	Morphological central nervous system abnormality
HPO	6	3.65e-06	0.00043	Hypopigmentation of the skin
RCTM	4	9.3e-06	0.00046	Formation of TC-NER Pre-Incision Complex
HPO	7	4.2e-06	0.00048	Delayed skeletal maturation
HPO	19	4.26e-06	0.00048	Abnormality of the skeletal system
Process	3	3.33e-06	0.00053	Positive regulation of ligase activity
Function	13	4.33e-06	0.00053	Protein-containing complex binding
HPO	17	4.97e-06	0.00055	Abnormal axial skeleton morphology
HPO	16	4.88e-06	0.00055	Abnormal skull morphology
HPO	5	4.89e-06	0.00055	Hypopigmented skin patches
DISEASES	3	1.93e-06	0.00059	Trichothiodystrophy
DISEASES	4	2e-06	0.00059	Severe combined immunodeficiency
HPO	4	5.49e-06	0.0006	Demyelinating peripheral neuropathy
RCTM	3	1.31e-05	0.00062	Removal of the Flap Intermediate from the C-strand
Pfam	3	2.36e-07	0.00064	ATP dependent DNA ligase C terminal region        
Pfam	3	2.36e-07	0.00064	DNA ligase N terminus
HPO	7	6.12e-06	0.00066	Hyperpigmentation of the skin
TISSUES	8	8.4e-07	0.00068	Cervical carcinoma cell
Process	10	4.55e-06	0.00071	Hematopoietic or lymphoid organ development
HPO	17	6.65e-06	0.00071	Abnormality of brain morphology
HPO	6	6.7e-06	0.00071	Hypermelanotic macule
HPO	5	6.96e-06	0.00073	Abnormal rectum morphology
HPO	17	7.14e-06	0.00074	Abnormality of the integument
HPO	10	7.27e-06	0.00075	Atrophy/Degeneration affecting the central nervous system
HPO	18	7.81e-06	0.00079	Abnormal nervous system morphology
HPO	15	7.93e-06	0.0008	Abnormal cerebral morphology
Keyword	33	2.81e-05	0.00082	Phosphoprotein
Component	4	1.48e-05	0.00086	Replication fork
Process	5	5.85e-06	0.00087	Hematopoietic progenitor cell differentiation
HPO	4	8.66e-06	0.00087	Erythroderma
Process	6	5.79e-06	0.00087	B cell activation
DISEASES	4	3.27e-06	0.00088	Autosomal recessive cerebellar ataxia
HPO	18	9.06e-06	0.0009	Abnormal skeletal morphology
HPO	11	9.07e-06	0.0009	Abnormality of coordination
Keyword	8	3.45e-05	0.00096	Host-virus interaction
DISEASES	30	3.81e-06	0.00097	Disease
Keyword	4	3.76e-05	0.001	Endonuclease
HPO	19	1.04e-05	0.001	Abnormality of the eye
HPO	12	1.12e-05	0.0011	Abnormality of skin adnexa morphology
HPO	5	1.22e-05	0.0011	Decreased testicular size
HPO	5	1.22e-05	0.0011	Arthralgia
HPO	7	1.13e-05	0.0011	Abnormality of skeletal maturation
HPO	5	1.26e-05	0.0012	Aminoaciduria
Process	14	8.42e-06	0.0012	Negative regulation of nucleobase-containing compound metabolic process
HPO	4	1.39e-05	0.0013	Decreased circulating IgG level
HPO	3	1.53e-05	0.0014	Severe combined immunodeficiency
HPO	17	1.58e-05	0.0014	Abnormal eye physiology
HPO	3	1.53e-05	0.0014	Cutaneous melanoma
HPO	3	1.53e-05	0.0014	Adenomatous colonic polyposis
Process	3	9.42e-06	0.0014	DNA strand elongation involved in DNA replication
Process	3	9.42e-06	0.0014	Response to UV-C
HPO	7	1.62e-05	0.0014	Cerebellar atrophy
HPO	10	1.7e-05	0.0014	Abnormality of the dentition
HPO	12	1.74e-05	0.0015	Abnormal ocular adnexa morphology
HPO	16	1.83e-05	0.0015	Abnormality of metabolism/homeostasis
KEGG	4	2.63e-05	0.0015	Platinum drug resistance
RCTM	2	3.18e-05	0.0015	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
RCTM	4	3.41e-05	0.0016	SUMOylation of DNA damage response and repair proteins
COMPARTMENTS	14	2.34e-05	0.0016	Catalytic complex
HPO	9	1.97e-05	0.0016	Abnormality of reproductive system physiology
HPO	16	1.98e-05	0.0016	Growth abnormality
HPO	8	1.95e-05	0.0016	Anemia
HPO	3	2.03e-05	0.0016	Panhypogammaglobulinemia
Process	13	1.08e-05	0.0016	Regulation of response to stress
HPO	8	2.06e-05	0.0017	Abnormal myelination
HPO	11	2.2e-05	0.0017	Abnormal hair morphology
HPO	4	2.11e-05	0.0017	Neoplasm of the colon
Component	2	3.18e-05	0.0018	Ku70:Ku80 complex
Component	2	3.18e-05	0.0018	Shu complex
Function	3	1.53e-05	0.0018	5-3 exonuclease activity
HPO	9	2.38e-05	0.0019	Brain atrophy
COMPARTMENTS	4	2.78e-05	0.0019	Chromosome, telomeric region
HPO	13	2.59e-05	0.002	Abnormality of eye movement
HPO	4	2.63e-05	0.002	Arteriosclerosis
HPO	5	2.61e-05	0.002	Aplasia/Hypoplasia of the testes
Process	16	1.39e-05	0.002	Immune system process
COMPARTMENTS	2	3.18e-05	0.0021	Ku70:Ku80 complex
Function	23	2.04e-05	0.0023	Metal ion binding
WikiPathways	3	2.96e-05	0.0023	DNA mismatch repair
Function	3	2.03e-05	0.0023	DNA polymerase binding
HPO	6	3.23e-05	0.0025	Fatigue
HPO	15	3.4e-05	0.0025	Abnormality of limbs
HPO	9	3.3e-05	0.0025	Abnormal cerebral cortex morphology
HPO	13	3.28e-05	0.0025	Growth delay
HPO	3	3.33e-05	0.0025	Keratoconjunctivitis sicca
Process	9	1.88e-05	0.0026	Hemopoiesis
TISSUES	12	4.61e-06	0.0028	Leukemia cell
Process	3	2.03e-05	0.0028	Hematopoietic stem cell differentiation
Function	3	2.63e-05	0.0029	DNA damage sensor activity
HPO	20	4.18e-05	0.003	Abnormality of the nervous system
HPO	19	4.27e-05	0.0031	Abnormality of the musculoskeletal system
DISEASES	8	1.29e-05	0.0031	Primary immunodeficiency disease
Keyword	3	0.00012	0.0031	4Fe-4S
HPO	3	4.6e-05	0.0033	Stomach cancer
Function	2	3.18e-05	0.0033	Purine-specific mismatch base pair DNA N-glycosylase activity
Function	2	3.18e-05	0.0033	DNA end binding
Function	2	3.18e-05	0.0033	Polynucleotide 3-phosphatase activity
Function	2	3.18e-05	0.0033	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
Function	8	3.58e-05	0.0034	ATP-dependent activity
HPO	9	4.74e-05	0.0034	Localized skin lesion
HPO	15	4.75e-05	0.0034	Abnormal eye morphology
HPO	12	4.91e-05	0.0035	Neurological speech impairment
HPO	11	5.2e-05	0.0036	Abnormal fundus morphology
HPO	6	5.35e-05	0.0037	Pes cavus
HPO	3	5.6e-05	0.0038	Adipose tissue loss
HPO	11	5.58e-05	0.0038	Short stature
HPO	9	5.53e-05	0.0038	Sensorineural hearing impairment
Function	4	4.14e-05	0.0039	Carbon-oxygen lyase activity
HPO	10	5.76e-05	0.0039	Hypertonia
HPO	9	6.06e-05	0.004	Abnormal calvaria morphology
HPO	11	5.99e-05	0.004	Abnormality of vision
Process	6	2.9e-05	0.004	Regulation of chromosome organization
TISSUES	8	8.35e-06	0.0041	Bone marrow cancer cell
HPO	9	6.24e-05	0.0041	Abnormal cerebral ventricle morphology
Process	2	3.18e-05	0.0043	Positive regulation of single strand break repair
Process	2	3.18e-05	0.0043	Nucleotide-excision repair, DNA duplex unwinding
Function	10	4.86e-05	0.0044	Transferase activity, transferring phosphorus-containing groups
Process	3	3.33e-05	0.0044	Nuclear DNA replication
HPO	3	6.73e-05	0.0044	B lymphocytopenia
HPO	14	6.97e-05	0.0045	Abnormality of the skin
Function	2	5.29e-05	0.0047	DNA-dependent protein kinase activity
Function	2	5.29e-05	0.0047	DNA insertion or deletion binding
Function	2	5.29e-05	0.0047	NAD DNA ADP-ribosyltransferase activity
HPO	8	7.42e-05	0.0047	Cerebral atrophy
HPO	13	7.31e-05	0.0047	Abnormality of skin morphology
HPO	6	7.33e-05	0.0047	Sparse hair
RCTM	2	0.00011	0.0049	Diseases of Base Excision Repair
COMPARTMENTS	2	7.92e-05	0.0049	Shu complex
HPO	16	7.75e-05	0.0049	Abnormality of the cardiovascular system
Process	4	3.95e-05	0.0051	Stem cell proliferation
HPO	6	8.31e-05	0.0053	Developmental regression
HPO	4	8.58e-05	0.0054	Choreoathetosis
HPO	13	8.53e-05	0.0054	Abnormality of the vasculature
HPO	8	8.88e-05	0.0055	Atrophy/Degeneration affecting the cerebrum
DISEASES	9	2.38e-05	0.0055	Immune system disease
HPO	5	9.02e-05	0.0056	Aplasia/Hypoplasia of the nails
HPO	3	9.43e-05	0.0058	Colon cancer
HPO	13	9.39e-05	0.0058	Abnormal central motor function
HPO	9	9.81e-05	0.006	Functional abnormality of the inner ear
Keyword	5	0.00024	0.006	Deafness
HPO	4	0.0001	0.0061	Sparse scalp hair
HPO	12	0.0001	0.0061	Abnormality of limb bone morphology
HPO	7	0.0001	0.0061	Abnormality of central nervous system electrophysiology
HPO	7	0.00011	0.0064	Intrauterine growth retardation
Process	4	4.98e-05	0.0064	Negative regulation of response to DNA damage stimulus
Function	2	7.92e-05	0.0065	Double-stranded DNA exodeoxyribonuclease activity
Function	2	7.92e-05	0.0065	Uracil DNA N-glycosylase activity
Keyword	11	0.00027	0.0065	ATP-binding
Function	15	7.79e-05	0.0065	Nucleotide binding
HPO	3	0.00011	0.0065	High pitched voice
HPO	4	0.00011	0.0066	Skin rash
Process	2	5.29e-05	0.0067	Small-subunit processome assembly
HPO	8	0.00011	0.0067	Cataract
COMPARTMENTS	2	0.00011	0.0067	Cyclin-dependent protein kinase activating kinase holoenzyme complex
Process	2	5.29e-05	0.0067	DNA ADP-ribosylation
Process	2	5.29e-05	0.0067	Peptidyl-serine ADP-ribosylation
Process	2	5.29e-05	0.0067	Negative regulation of protein ADP-ribosylation
Process	15	5.43e-05	0.0067	Gene expression
Process	7	5.6e-05	0.0068	Response to xenobiotic stimulus
HPO	7	0.00012	0.0069	Abnormal urine metabolite level
HPO	11	0.00012	0.0069	Abnormality of body height
HPO	3	0.00012	0.0069	Abnormal astrocyte morphology
DISEASES	2	3.18e-05	0.007	Xeroderma pigmentosum group B
HPO	4	0.00012	0.0072	Hypotelorism
HPO	11	0.00013	0.0073	Abnormal digit morphology
HPO	10	0.00013	0.0073	Abnormal reflex
RCTM	3	0.00018	0.0077	Base-Excision Repair, AP Site Formation
HPO	11	0.00014	0.0078	Abnormal homeostasis
Process	16	6.5e-05	0.0078	Negative regulation of nitrogen compound metabolic process
HPO	12	0.00014	0.008	Abnormality of body weight
HPO	24	0.00014	0.008	Phenotypic abnormality
Function	3	0.00011	0.008	Telomeric DNA binding
HPO	2	0.00015	0.0082	Increased cellular sensitivity to UV light
HPO	3	0.00015	0.0082	Urticaria
Keyword	4	0.00036	0.0083	Helicase
HPO	11	0.00015	0.0083	Hearing impairment
HPO	15	0.00015	0.0084	Abnormality of higher mental function
HPO	3	0.00016	0.0085	Decreased circulating IgA level
HPO	3	0.00016	0.0085	Abnormality of the thymus
HPO	8	0.00016	0.0085	Abnormal cornea morphology
HPO	6	0.00016	0.0085	Hydrocephalus
HPO	4	0.00016	0.0087	Lymphopenia
HPO	5	0.00016	0.0087	Micropenis
HPO	3	0.00017	0.0089	Confusion
Function	5	0.00013	0.0091	Lyase activity
HPO	6	0.00018	0.0093	Hyporeflexia
Process	2	7.92e-05	0.0094	pro-B cell differentiation
Process	2	7.92e-05	0.0094	Lagging strand elongation
Process	2	7.92e-05	0.0094	Depurination
HPO	6	0.00018	0.0096	Epidermal thickening
HPO	2	0.00019	0.0099	Impaired social reciprocity
HPO	2	0.00019	0.0099	Tiger tail banding
HPO	2	0.00019	0.0099	Congenital exfoliative erythroderma
HPO	2	0.00019	0.0099	Hypoplasia of mandible relative to maxilla
HPO	7	0.00019	0.01	Abnormal cellular immune system morphology
HPO	7	0.00019	0.01	Abnormal leukocyte morphology
HPO	11	0.0002	0.0101	Abnormal musculoskeletal physiology
HPO	5	0.0002	0.0101	Abnormality of extrapyramidal motor function
TISSUES	2	3.18e-05	0.0102	CHO-EM9 cell
TISSUES	8	2.94e-05	0.0102	Bone marrow
HPO	14	0.0002	0.0102	Abnormal muscle physiology
TISSUES	2	3.18e-05	0.0102	46BR.1G1 cell
HPO	9	0.00021	0.0103	Spasticity
RCTM	3	0.00026	0.0104	Diseases of DNA repair
HPO	4	0.00021	0.0104	Cerebral calcification
Function	2	0.00015	0.0104	RNA-DNA hybrid ribonuclease activity
HPO	4	0.00021	0.0104	Abnormal temporal lobe morphology
HPO	9	0.00022	0.0106	Strabismus
HPO	6	0.00022	0.0106	Abnormal leukocyte count
HPO	13	0.00022	0.0107	Behavioral abnormality
HPO	3	0.00023	0.011	Short chin
DISEASES	2	5.29e-05	0.011	Xeroderma pigmentosum group D
HPO	15	0.00023	0.011	Abnormality of the musculature
DISEASES	2	5.29e-05	0.011	Xeroderma pigmentosum group A
HPO	7	0.00023	0.011	Abnormal morphology of the nasal alae
COMPARTMENTS	2	0.00019	0.0112	ERCC4-ERCC1 complex
Keyword	6	0.00051	0.0112	Chromosome
HPO	5	0.00024	0.0113	Abnormal granulocyte count
InterPro	2	3.18e-05	0.0114	Zinc finger, PARP-type
InterPro	2	3.18e-05	0.0114	DNA polymerase family X, beta-like
InterPro	2	3.18e-05	0.0114	Ku70/Ku80 C-terminal arm
InterPro	3	3.72e-05	0.0114	Nucleotidyltransferase superfamily
COMPARTMENTS	9	0.0002	0.0114	Transferase complex
InterPro	2	3.18e-05	0.0114	Ku70/Ku80, N-terminal alpha/beta
InterPro	2	3.18e-05	0.0114	Ku70/Ku80 beta-barrel domain
InterPro	2	3.18e-05	0.0114	Zinc finger, PARP-type superfamily
InterPro	2	3.18e-05	0.0114	XRCC4-like, N-terminal domain superfamily
HPO	3	0.00024	0.0115	Recurrent viral infections
HPO	5	0.00025	0.0116	Hyperkeratosis
HPO	11	0.00024	0.0116	Abnormal ear physiology
Function	3	0.00017	0.0116	4 iron, 4 sulfur cluster binding
HPO	4	0.00025	0.0117	Neoplasm of the central nervous system
HPO	12	0.00025	0.0117	Seizure
HPO	5	0.00025	0.0117	Microphthalmia
HPO	4	0.00026	0.012	Carious teeth
Function	6	0.00018	0.012	RNA polymerase II-specific DNA-binding transcription factor binding
HPO	4	0.00026	0.012	Athetosis
HPO	9	0.00028	0.0126	Abnormality of the urinary system physiology
HPO	9	0.00028	0.0128	Nystagmus
Function	2	0.00019	0.0128	Mismatch repair complex binding
Function	2	0.00019	0.0128	Oxidized purine DNA binding
Process	2	0.00011	0.0129	Positive regulation of DNA ligation
Process	2	0.00011	0.0129	T cell receptor V(D)J recombination
Process	4	0.00011	0.0129	Regulation of telomere maintenance
Process	2	0.00011	0.0129	Nucleotide-excision repair, DNA gap filling
SMART	2	5.29e-05	0.013	Proposed nucleic acid binding domain
HPO	2	0.00029	0.013	Split nail
HPO	2	0.00029	0.013	Low-set nipples
HPO	2	0.00029	0.013	Severe B lymphocytopenia
HPO	2	0.00029	0.013	Bronchospasm
SMART	2	3.18e-05	0.013	Ku70 and Ku80 are 70kDa and 80kDa subunits of the Lupus Ku autoantigen
SMART	2	5.29e-05	0.013	Endonuclease III
SMART	2	3.18e-05	0.013	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
Keyword	12	0.00062	0.013	Nucleotide-binding
HPO	9	0.0003	0.0132	Abnormal involuntary eye movements
Function	14	0.0002	0.0132	Enzyme binding
HPO	6	0.0003	0.0133	Abnormal internal genitalia
HPO	13	0.00031	0.0134	Abnormal oral cavity morphology
HPO	13	0.00031	0.0135	Cognitive impairment
HPO	9	0.00031	0.0136	Failure to thrive
HPO	4	0.00031	0.0136	Prematurely aged appearance
InterPro	2	5.29e-05	0.0136	Helix-hairpin-helix, base-excision DNA repair, C-terminal
InterPro	2	5.29e-05	0.0136	WGR domain
InterPro	2	5.29e-05	0.0136	HhH-GPD domain
HPO	4	0.00031	0.0136	Abnormal thyroid morphology
InterPro	2	5.29e-05	0.0136	WGR domain superfamily
Process	21	0.00013	0.0141	Regulation of nucleobase-containing compound metabolic process
Process	4	0.00013	0.0141	Positive regulation of chromosome organization
Process	6	0.00013	0.0141	Regulation of mitotic cell cycle phase transition
Process	15	0.00013	0.0141	Negative regulation of cellular metabolic process
HPO	3	0.00033	0.0144	Neuroepithelial neoplasm
HPO	2	0.00035	0.0147	Abnormal bronchus physiology
HPO	3	0.00035	0.0149	Cachexia
SMART	2	0.00015	0.0151	Helix-hairpin-helix DNA-binding motif class 1
SMART	2	0.00011	0.0151	Helix-hairpin-helix class 2 (Pol1 family) motifs
SMART	2	0.00011	0.0151	Xeroderma pigmentosum G I-region
SMART	2	0.00011	0.0151	Xeroderma pigmentosum G N-region
DISEASES	2	7.92e-05	0.0152	Familial adenomatous polyposis 2
DISEASES	2	7.92e-05	0.0152	Xeroderma pigmentosum group F
Function	2	0.00024	0.0153	Bubble DNA binding
Function	2	0.00024	0.0153	5-3 exodeoxyribonuclease activity
HPO	5	0.00036	0.0153	Cerebral cortical atrophy
Function	2	0.00024	0.0153	Single-stranded DNA endodeoxyribonuclease activity
Keyword	3	0.00077	0.0156	Multifunctional enzyme
Process	2	0.00015	0.0159	B cell lineage commitment
Process	2	0.00015	0.0159	Cellular response to UV-C
HPO	3	0.00039	0.0162	Malignant neoplasm of the central nervous system
RCTM	3	0.00041	0.0163	HDACs deacetylate histones
HPO	4	0.0004	0.0166	Abnormality of corneal size
RCTM	3	0.00043	0.0168	Regulation of PTEN gene transcription
Function	3	0.00027	0.0169	3-5 exonuclease activity
HPO	2	0.00041	0.017	Generalized hyperreflexia
HPO	9	0.00041	0.017	Aplasia/hypoplasia involving the skeleton
HPO	2	0.00041	0.017	Recurrent upper and lower respiratory tract infections
HPO	3	0.00043	0.0175	Convex nasal ridge
HPO	3	0.00043	0.0175	Simplified gyral pattern
InterPro	2	7.92e-05	0.0178	DNA polymerase, Y-family, little finger domain superfamily
InterPro	2	7.92e-05	0.0178	Poly(ADP-ribose) polymerase, regulatory domain superfamily
InterPro	2	7.92e-05	0.0178	XPG conserved site
InterPro	2	7.92e-05	0.0178	DNA glycosylase
InterPro	2	7.92e-05	0.0178	UmuC domain
InterPro	2	7.92e-05	0.0178	DNA polymerase, Y-family, little finger domain
InterPro	2	7.92e-05	0.0178	Poly(ADP-ribose) polymerase, regulatory domain
RCTM	3	0.00047	0.0181	TP53 Regulates Transcription of DNA Repair Genes
Process	14	0.00017	0.0184	Positive regulation of nucleobase-containing compound metabolic process
HPO	5	0.00046	0.0188	Anorectal anomaly
DISEASES	2	0.00011	0.0188	Ataxia telangiectasia
HPO	3	0.00047	0.0189	Chronic diarrhea
RCTM	4	0.00051	0.019	Factors involved in megakaryocyte development and platelet production
HPO	2	0.00047	0.0191	Desquamation of skin soon after birth
HPO	17	0.00048	0.0192	Abnormal nervous system physiology
RCTM	2	0.00055	0.0198	Cytosolic iron-sulfur cluster assembly
Process	2	0.00019	0.0199	Telomere maintenance via semi-conservative replication
RCTM	3	0.00056	0.0199	HDR through Homologous Recombination (HRR)
Keyword	17	0.001	0.0201	Acetylation
Component	12	0.00038	0.0202	Mitochondrion
InterPro	2	0.00011	0.0204	XPG/Rad2 endonuclease
InterPro	2	0.00011	0.0204	XPG-I domain
InterPro	2	0.00011	0.0204	Helix-hairpin-helix motif, class 2
InterPro	2	0.00011	0.0204	SPOC-like, C-terminal domain superfamily
InterPro	2	0.00011	0.0204	5-3 exonuclease, C-terminal domain superfamily
HPO	5	0.00052	0.0206	Abnormal CNS myelination
HPO	6	0.00053	0.0209	Hernia
Component	2	0.00041	0.0214	Transcription factor TFIIH core complex
HPO	10	0.00054	0.0214	Abnormal foot morphology
RCTM	2	0.00062	0.0216	Polymerase switching
HPO	3	0.00056	0.0219	Hypoalbuminemia
HPO	12	0.00056	0.0221	Abnormality of movement
HPO	6	0.00057	0.0221	EEG abnormality
HPO	4	0.00057	0.0222	Abnormality of hair texture
HPO	11	0.00057	0.0223	Abnormality of the lower limb
HPO	4	0.00058	0.0225	Sloping forehead
HPO	3	0.00058	0.0225	Diplopia
HPO	3	0.00058	0.0225	Abnormality of binocular vision
HPO	3	0.00058	0.0225	Abnormal circulating albumin concentration
Component	4	0.00045	0.023	Nuclear periphery
Process	4	0.00022	0.0231	Regulation of DNA biosynthetic process
HPO	12	0.00061	0.0232	Abnormal muscle tone
DISEASES	2	0.00015	0.0233	Omenn syndrome
HPO	10	0.00062	0.0235	Decreased body weight
HPO	2	0.00062	0.0237	Increased mean corpuscular hemoglobin concentration
HPO	2	0.00062	0.0237	Absence of subcutaneous fat
Component	2	0.00047	0.0237	Transcription factor TFIIH holo complex
HPO	2	0.00062	0.0237	Nervous system cancer
InterPro	2	0.00015	0.0241	XPG, N-terminal
Process	8	0.00024	0.0244	Regulation of cell cycle process
Process	2	0.00024	0.0244	Depyrimidination
Process	2	0.00024	0.0244	Protein poly-ADP-ribosylation
Function	2	0.00041	0.0248	U3 snoRNA binding
Keyword	2	0.0013	0.025	Systemic lupus erythematosus
HPO	8	0.00066	0.025	Abnormal retinal morphology
TISSUES	17	0.00011	0.0252	Internal female genital organ
Keyword	5	0.0014	0.0252	Neurodegeneration
HPO	8	0.00068	0.0254	Abnormality of globe location
HPO	9	0.00068	0.0254	Abnormal facial skeleton morphology
TISSUES	16	0.00013	0.0258	Organism form
HPO	4	0.0007	0.0259	Recurrent bacterial infections
Process	4	0.00026	0.0261	B cell differentiation
HPO	2	0.00071	0.0262	Congenital nonbullous ichthyosiform erythroderma
RCTM	2	0.00079	0.0266	Translesion synthesis by REV1
Component	2	0.00055	0.0267	Nuclear telomere cap complex
Process	3	0.00027	0.0272	Regulation of telomerase activity
