category	number_of_genes	p_value	fdr	description
HPO	20	5.73e-09	1.73e-07	Hypoplasia of penis
HPO	11	5.8e-09	1.75e-07	Lymphoma
DISEASES	19	1.42e-09	2.04e-07	Reproductive system disease
Function	6	2.69e-09	2.32e-07	Oxidized DNA binding
HPO	24	7.75e-09	2.33e-07	Abnormal morphology of the great vessels
Function	15	2.94e-09	2.5e-07	Protein C-terminus binding
HPO	38	8.92e-09	2.68e-07	Abnormal musculoskeletal physiology
HPO	17	9.48e-09	2.84e-07	Short finger
HPO	9	9.65e-09	2.88e-07	Neoplasm of the pancreas
HPO	9	9.65e-09	2.88e-07	Ovarian neoplasm
HPO	14	9.91e-09	2.94e-07	Neoplasm of the genitourinary tract
HPO	10	1.08e-08	3.2e-07	Elbow dislocation
HPO	32	1.12e-08	3.32e-07	Visual impairment
HPO	11	1.18e-08	3.49e-07	Severe short stature
HPO	7	1.21e-08	3.55e-07	Hypoplastic labia minora
Function	6	4.44e-09	3.71e-07	Flap endonuclease activity
HPO	24	1.37e-08	4.03e-07	Abnormal finger phalanx morphology
HPO	15	1.38e-08	4.04e-07	Micropenis
HPO	8	1.42e-08	4.14e-07	High pitched voice
HPO	7	1.56e-08	4.55e-07	Epispadias
HPO	8	1.7e-08	4.95e-07	Abnormal male internal genitalia morphology
HPO	9	1.72e-08	4.98e-07	Cachexia
HPO	7	2e-08	5.78e-07	Clitoral hypoplasia
HPO	8	2.03e-08	5.85e-07	Hypoplasia of the radius
HPO	12	2.3e-08	6.59e-07	Proportionate short stature
HPO	44	2.32e-08	6.63e-07	Abnormality of movement
HPO	6	2.33e-08	6.65e-07	Defective DNA repair after ultraviolet radiation damage
Function	9	8.3e-09	6.82e-07	3-5 exonuclease activity
HPO	7	2.54e-08	7.23e-07	Absent radius
Function	6	1.08e-08	8.73e-07	3-5 DNA helicase activity
HPO	6	3.3e-08	9.29e-07	Ankyloblepharon
HPO	6	3.3e-08	9.29e-07	Bird-like facies
DISEASES	6	7.04e-09	9.52e-07	Cockayne syndrome
DISEASES	32	7.56e-09	9.92e-07	Cancer
HPO	15	3.94e-08	1.11e-06	Abnormal granulocyte count
DISEASES	20	8.98e-09	1.15e-06	Endocrine system disease
DISEASES	27	9.09e-09	1.15e-06	Physical disorder
WikiPathways	10	6.63e-08	1.79e-06	p53 transcriptional gene network
HPO	15	6.94e-08	1.93e-06	Abnormal epiphysis morphology
HPO	8	7.35e-08	2.04e-06	Ectopic kidney
HPO	11	7.6e-08	2.1e-06	Genital neoplasm
HPO	31	7.91e-08	2.18e-06	Abnormal vascular morphology
DISEASES	5	2.36e-08	2.85e-06	Ataxia telangiectasia
HPO	11	1.04e-07	2.86e-06	Abnormal conjunctiva morphology
Function	8	3.98e-08	3.17e-06	4 iron, 4 sulfur cluster binding
Function	5	4.29e-08	3.36e-06	Four-way junction helicase activity
Function	6	4.58e-08	3.53e-06	Endodeoxyribonuclease activity, producing 5-phosphomonoesters
HPO	16	1.36e-07	3.74e-06	Sparse hair
HPO	12	1.37e-07	3.75e-06	Neutropenia
DISEASES	33	3.33e-08	3.93e-06	Disease of cellular proliferation
HPO	21	1.79e-07	4.88e-06	Short digit
DISEASES	5	4.29e-08	4.93e-06	Li-Fraumeni syndrome
DISEASES	5	4.29e-08	4.93e-06	Bloom syndrome
Function	5	7.3e-08	5.54e-06	Oxidized purine DNA binding
HPO	7	2.21e-07	6.01e-06	Hypoplastic labia majora
HPO	9	2.28e-07	6.18e-06	Opacification of the corneal stroma
HPO	8	2.47e-07	6.68e-06	Hypergonadotropic hypogonadism
HPO	13	2.56e-07	6.89e-06	Small for gestational age
HPO	33	2.62e-07	7.04e-06	Abnormal heart morphology
Function	5	1.18e-07	8.79e-06	Single-stranded DNA endodeoxyribonuclease activity
Function	5	1.18e-07	8.79e-06	Bubble DNA binding
Function	5	1.18e-07	8.79e-06	5-flap endonuclease activity
Function	5	1.18e-07	8.79e-06	DNA/DNA annealing activity
HPO	30	3.38e-07	9.07e-06	Abnormal hair morphology
HPO	8	3.55e-07	9.51e-06	Submucous cleft hard palate
HPO	8	3.55e-07	9.51e-06	Slender long bone
HPO	32	3.77e-07	1e-05	Abnormality of skin adnexa morphology
HPO	14	4.05e-07	1.08e-05	Retrognathia
HPO	40	4.2e-07	1.11e-05	Abnormality of cardiovascular system morphology
HPO	8	4.48e-07	1.18e-05	Keratitis
WikiPathways	9	4.87e-07	1.27e-05	Pancreatic adenocarcinoma pathway
HPO	11	4.92e-07	1.29e-05	Joint hyperflexibility
HPO	30	5.29e-07	1.39e-05	Abnormality of joint mobility
HPO	7	5.6e-07	1.46e-05	Atresia of the external auditory canal
HPO	11	6.35e-07	1.65e-05	Inflammatory abnormality of the eye
HPO	7	6.46e-07	1.68e-05	Blepharitis
HPO	4	6.72e-07	1.74e-05	Deficient excision of UV-induced pyrimidine dimers in DNA
HPO	4	6.72e-07	1.74e-05	Prolonged G2 phase of cell cycle
HPO	8	7.73e-07	1.99e-05	Clitoral hypertrophy
DISEASES	11	1.89e-07	2.06e-05	Nervous system cancer
DISEASES	82	1.89e-07	2.06e-05	Disease of anatomical entity
HPO	7	8.51e-07	2.17e-05	Abnormal labia majora morphology
HPO	7	8.51e-07	2.17e-05	Decreased adipose tissue
HPO	10	9.05e-07	2.3e-05	High, narrow palate
Function	10	3.45e-07	2.43e-05	Protein N-terminus binding
HPO	7	9.72e-07	2.47e-05	Demyelinating peripheral neuropathy
HPO	7	9.72e-07	2.47e-05	Basal cell carcinoma
HPO	10	1.04e-06	2.63e-05	Decreased testicular size
HPO	8	1.05e-06	2.65e-05	Aplasia/Hypoplasia of the breasts
WikiPathways	9	1.05e-06	2.66e-05	Small cell lung cancer
HPO	6	1.22e-06	3.06e-05	Adipose tissue loss
HPO	26	1.32e-06	3.29e-05	Mean corpuscular volume
HPO	10	1.36e-06	3.4e-05	Neoplasm of the central nervous system
HPO	11	1.46e-06	3.64e-05	Narrow palate
Function	5	5.47e-07	3.8e-05	Single-stranded telomeric DNA binding
HPO	32	1.54e-06	3.81e-05	Abnormal nasal morphology
HPO	9	1.57e-06	3.88e-05	Sparse scalp hair
HPO	6	1.71e-06	4.24e-05	Craniofacial hyperostosis
DISEASES	7	4.17e-07	4.36e-05	Autosomal recessive cerebellar ataxia
HPO	7	1.82e-06	4.48e-05	Ectropion
HPO	13	1.87e-06	4.61e-05	Abnormality of neutrophils
HPO	17	1.93e-06	4.73e-05	Peripheral neuropathy
HPO	4	1.98e-06	4.86e-05	Slender nose
HPO	4	1.98e-06	4.86e-05	Increased cellular sensitivity to UV light
Function	5	7.52e-07	5.15e-05	DNA N-glycosylase activity
HPO	10	2.14e-06	5.21e-05	Bifid uvula
Function	39	8.5e-07	5.67e-05	Double-stranded DNA binding
HPO	8	2.68e-06	6.52e-05	Conjunctivitis
Function	5	1.01e-06	6.65e-05	Mismatched DNA binding
DISEASES	4	6.72e-07	6.86e-05	Xeroderma pigmentosum group F
DISEASES	4	6.72e-07	6.86e-05	Xeroderma pigmentosum group C
HPO	5	2.83e-06	6.87e-05	Squamous cell carcinoma of the skin
HPO	5	2.83e-06	6.87e-05	Cutaneous melanoma
HPO	7	2.87e-06	6.94e-05	Neuroepithelial neoplasm
HPO	4	3.09e-06	7.43e-05	Anemic pallor
Function	4	1.2e-06	7.49e-05	MutSalpha complex binding
Function	4	1.2e-06	7.49e-05	Y-form DNA binding
Function	4	1.2e-06	7.49e-05	Crossover junction endodeoxyribonuclease activity
WikiPathways	4	3.09e-06	7.55e-05	DDX1 as a regulatory component of the Drosha microprocessor
Function	7	1.26e-06	7.57e-05	Cyclin-dependent protein serine/threonine kinase regulator activity
HPO	27	3.3e-06	7.89e-05	Increased inflammatory response
HPO	6	3.71e-06	8.83e-05	Pterygium
HPO	24	4.13e-06	9.78e-05	Abnormal external nose morphology
HPO	5	4.4e-06	0.0001	Progeroid facial appearance
WikiPathways	9	4.28e-06	0.0001	CKAP4 signaling pathway map
WikiPathways	4	4.6e-06	0.00011	Hijack of ubiquitination by SARS-CoV-2
WikiPathways	4	4.6e-06	0.00011	NIPBL role in DNA damage - Cornelia de Lange syndrome
HPO	7	4.87e-06	0.00011	Neoplasm of the stomach
HPO	12	5.25e-06	0.00012	Abnormality of the pancreas
HPO	22	5.15e-06	0.00012	Mean corpuscular hemoglobin
DISEASES	4	1.2e-06	0.00012	Nijmegen breakage syndrome
DISEASES	4	1.2e-06	0.00012	Werner syndrome
DISEASES	4	1.2e-06	0.00012	Rothmund-Thomson syndrome
WikiPathways	6	5.62e-06	0.00012	Bladder cancer
HPO	7	5.38e-06	0.00013	Embryonal neoplasm
WikiPathways	7	5.94e-06	0.00013	Prader-Willi and Angelman syndrome
HPO	11	6.56e-06	0.00015	Abnormal nasal dorsum morphology
HPO	5	6.58e-06	0.00015	Colorectal polyposis
HPO	4	6.6e-06	0.00015	Numerous pigmented freckles
HPO	4	6.6e-06	0.00015	Ivory epiphyses
Function	6	2.76e-06	0.00016	Cyclin binding
HPO	7	7.2e-06	0.00017	Abnormality of the auditory canal
HPO	11	7.2e-06	0.00017	Alopecia
Function	5	2.83e-06	0.00017	5-3 exonuclease activity
HPO	10	8.4e-06	0.00019	Camptodactyly of finger
HPO	21	8.81e-06	0.0002	Abnormal hair quantity
HPO	9	8.64e-06	0.0002	Abnormality of female external genitalia
WikiPathways	7	1.04e-05	0.00021	Melanoma
HPO	4	9.16e-06	0.00021	Abnormality of amino acid metabolism
HPO	12	9.03e-06	0.00021	Fever
HPO	10	1.14e-05	0.00026	Abnormality of the ovary
Function	4	4.6e-06	0.00026	Single-stranded DNA helicase activity
Function	4	4.6e-06	0.00026	5-3 DNA helicase activity
HPO	17	1.19e-05	0.00027	Dysarthria
HPO	7	1.24e-05	0.00028	Arteriosclerosis
HPO	8	1.26e-05	0.00028	Erythema
WikiPathways	7	1.47e-05	0.00029	Head and neck squamous cell carcinoma
WikiPathways	7	1.47e-05	0.00029	Non-small cell lung cancer
HPO	10	1.39e-05	0.00031	Decreased circulating antibody level
HPO	5	1.58e-05	0.00035	Stomach cancer
WikiPathways	5	1.84e-05	0.00035	Sphingolipid metabolism in senescence
WikiPathways	6	1.84e-05	0.00035	TROP2 regulatory signaling
HPO	11	1.6e-05	0.00036	Abnormal immunoglobulin level
WikiPathways	6	2.04e-05	0.00037	Photodynamic therapy-induced AP-1 survival signaling
HPO	18	1.67e-05	0.00037	Mean corpuscular hemoglobin concentration
HPO	6	1.65e-05	0.00037	Short chin
HPO	11	1.81e-05	0.0004	Specific learning disability
HPO	8	1.88e-05	0.00042	Narrow face
HPO	3	1.96e-05	0.00043	Retinoblastoma
HPO	20	1.98e-05	0.00044	Joint contracture
HPO	20	1.98e-05	0.00044	Flexion contracture
DISEASES	6	4.91e-06	0.00045	Urinary bladder cancer
HPO	4	2.13e-05	0.00047	Birth length less than 3rd percentile
HPO	4	2.13e-05	0.00047	Complete duplication of thumb phalanx
HPO	5	2.14e-05	0.00047	Non-Hodgkin lymphoma
HPO	7	2.2e-05	0.00048	Retinopathy
HPO	11	2.22e-05	0.00049	Photophobia
Function	4	9.16e-06	0.00051	G-quadruplex DNA binding
HPO	22	2.33e-05	0.00051	Abnormal cerebellum morphology
Function	4	9.16e-06	0.00051	Four-way junction DNA binding
HPO	8	2.42e-05	0.00053	Nevus
HPO	5	2.48e-05	0.00054	Reticulocytopenia
HPO	5	2.48e-05	0.00054	Osteosarcoma
HPO	8	2.57e-05	0.00056	Abnormal rectum morphology
HPO	4	2.71e-05	0.00058	Complete duplication of phalanx of hand
HPO	15	2.68e-05	0.00058	Mean reticulocyte volume
HPO	7	2.76e-05	0.00059	Thin skin
HPO	5	2.85e-05	0.00061	Aplastic anemia
HPO	5	2.85e-05	0.00061	Acute lymphoblastic leukemia
HPO	11	2.92e-05	0.00062	Corneal opacity
WikiPathways	5	3.74e-05	0.00066	Type 2 papillary renal cell carcinoma
Function	19	1.23e-05	0.00067	Transcription factor binding
HPO	13	3.21e-05	0.00068	Aplasia/hypoplasia involving bones of the lower limbs
HPO	9	3.23e-05	0.00068	Abnormal lymphocyte morphology
HPO	8	3.28e-05	0.00069	Age at menopause
HPO	3	3.4e-05	0.00071	Patchy demyelination of subcortical white matter
HPO	4	3.41e-05	0.00071	Hypoplastic pelvis
HPO	3	3.4e-05	0.00071	Abnormal tibial metaphysis morphology
HPO	10	3.93e-05	0.00082	Immunodeficiency
HPO	12	4.06e-05	0.00084	Abnormality of the vasculature of the eye
HPO	12	4.06e-05	0.00084	Joint hypermobility
HPO	5	4.25e-05	0.00088	Premature graying of hair
HPO	6	4.42e-05	0.00091	Malignant neoplasm of the central nervous system
Function	13	1.73e-05	0.00093	Ubiquitin protein ligase binding
HPO	34	4.56e-05	0.00094	Erythrocyte indices
HPO	10	5.03e-05	0.001	Narrow mouth
HPO	6	4.82e-05	0.001	Decreased circulating IgG level
Function	3	1.96e-05	0.001	DNA clamp loader activity
Function	3	1.96e-05	0.001	DNA ligase (ATP) activity
Function	44	2.03e-05	0.001	Transferase activity
Function	3	1.96e-05	0.001	DNA-dependent protein kinase activity
HPO	3	5.4e-05	0.0011	Hypoplasia of the primary teeth
HPO	14	5.31e-05	0.0011	Abnormality of the voice
HPO	6	5.26e-05	0.0011	Melanocytic nevus
HPO	6	5.26e-05	0.0011	Simplified gyral pattern
Function	4	2.13e-05	0.0011	DNA-(apurinic or apyrimidinic site) endonuclease activity
HPO	3	5.4e-05	0.0011	Widely spaced primary teeth
Function	4	2.13e-05	0.0011	3-5-exodeoxyribonuclease activity
HPO	13	6.03e-05	0.0012	Limb joint contracture
HPO	4	6.29e-05	0.0013	Adenomatous colonic polyposis
WikiPathways	4	7.55e-05	0.0013	TP53 network
HPO	14	7.11e-05	0.0014	Thickened skin
HPO	6	6.77e-05	0.0014	Intellectual disability, progressive
HPO	11	6.77e-05	0.0014	Abnormality of the elbow
WikiPathways	6	7.96e-05	0.0014	Pathways affected in adenoid cystic carcinoma
WikiPathways	6	8.61e-05	0.0014	Thyroid stimulating hormone (TSH) signaling pathway
HPO	8	7.48e-05	0.0015	Carious teeth
WikiPathways	10	9.34e-05	0.0015	Ciliary landscape
Function	3	3.4e-05	0.0016	Double-stranded DNA exodeoxyribonuclease activity
Function	3	3.4e-05	0.0016	MutLalpha complex binding
HPO	6	7.96e-05	0.0016	Abnormal T cell count
HPO	3	8.04e-05	0.0016	Brain neoplasm
HPO	13	8.23e-05	0.0016	Abnormality of temperature regulation
HPO	3	8.04e-05	0.0016	Peripheral dysmyelination
HPO	3	8.04e-05	0.0016	Square pelvis bone
HPO	3	8.04e-05	0.0016	Normal pressure hydrocephalus
Function	3	3.4e-05	0.0016	Telomeric D-loop binding
HPO	11	8.3e-05	0.0017	Camptodactyly
HPO	8	8.71e-05	0.0017	Abnormal lymphocyte count
HPO	6	8.61e-05	0.0017	Neoplasm of the colon
HPO	4	8.99e-05	0.0018	Duplicated collecting system
DISEASES	3	1.96e-05	0.0018	Xeroderma pigmentosum group A
DISEASES	3	1.96e-05	0.0018	DNA ligase IV deficiency
DISEASES	3	1.96e-05	0.0018	Fanconi anemia complementation group D1
DISEASES	3	1.96e-05	0.0018	Xeroderma pigmentosum group D
DISEASES	3	1.96e-05	0.0018	Severe combined immunodeficiency with sensitivity to ionizing radiation
HPO	9	9.67e-05	0.0019	Abnormal dental enamel morphology
DISEASES	8	2.27e-05	0.0019	Cerebellar ataxia
HPO	6	0.0001	0.002	Gastrointestinal atresia
HPO	12	0.0001	0.002	Diarrhea
HPO	16	9.99e-05	0.002	Reduced tendon reflexes
HPO	7	0.0001	0.002	Hypoplasia of teeth
HPO	11	0.0001	0.002	Upper-limb joint contracture
HPO	5	0.00011	0.0021	Abnormality of the thymus
HPO	5	0.00011	0.0021	Decreased circulating IgA level
HPO	3	0.00011	0.0022	Ivory epiphyses of the phalanges of the hand
HPO	21	0.00012	0.0023	Abnormality of the dentition
HPO	26	0.00012	0.0023	Abnormal fundus morphology
WikiPathways	3	0.00016	0.0025	Dual hijack model of Vif in HIV infection
Function	3	5.4e-05	0.0025	ATP-dependent DNA/DNA annealing activity
Function	3	5.4e-05	0.0025	5-deoxyribose-5-phosphate lyase activity
HPO	7	0.00013	0.0025	Hypoplasia of the maxilla
HPO	22	0.00014	0.0027	Abnormal lung morphology
DISEASES	3	3.4e-05	0.0027	Baller-Gerold syndrome
DISEASES	4	3.41e-05	0.0027	Lynch syndrome
DISEASES	3	3.4e-05	0.0027	Spinocerebellar ataxia type 1 with axonal neuropathy
DISEASES	3	3.4e-05	0.0027	Rapadilino syndrome
HPO	18	0.00014	0.0028	Low-set ears
HPO	8	0.00015	0.0028	Blepharophimosis
HPO	10	0.00015	0.0028	Abnormality of extrapyramidal motor function
HPO	11	0.00015	0.0028	Abnormal female reproductive system physiology
HPO	11	0.00015	0.0028	Tooth agenesis
HPO	12	0.00016	0.0031	Short neck
HPO	7	0.00018	0.0035	Urinary tract neoplasm
Function	3	8.04e-05	0.0036	RNA-DNA hybrid ribonuclease activity
HPO	9	0.00019	0.0036	Abnormal adipose tissue morphology
HPO	11	0.00019	0.0037	Flexion contracture of digit
WikiPathways	7	0.00024	0.0037	Spinal cord injury
HPO	10	0.00019	0.0037	Abnormal large intestine morphology
HPO	8	0.0002	0.0038	Aplasia/Hypoplasia involving bones of the thorax
HPO	21	0.0002	0.0039	Ataxia
HPO	3	0.00021	0.0039	Loss of facial adipose tissue
DISEASES	3	5.4e-05	0.0039	Serous cystadenocarcinoma
DISEASES	9	5.72e-05	0.0041	Gastrointestinal system cancer
HPO	6	0.00022	0.0041	Increased bone mineral density
HPO	4	0.00022	0.0041	Progressive external ophthalmoplegia
HPO	31	0.00022	0.0041	Abnormal skeletal muscle morphology
HPO	9	0.00022	0.0041	Abnormal odontoid tissue morphology
HPO	5	0.00023	0.0042	Duplication of thumb phalanx
HPO	7	0.00022	0.0042	Lymphopenia
HPO	6	0.00025	0.0046	Enamel hypoplasia
HPO	18	0.00025	0.0046	Abnormal location of ears
HPO	4	0.00025	0.0047	Uveitis
Function	3	0.00011	0.0051	Double-stranded telomeric DNA binding
HPO	7	0.00027	0.0051	Abnormality of the maxilla
HPO	42	0.00028	0.0051	Abnormality of the musculature
HPO	4	0.00029	0.0053	Esophageal atresia
HPO	11	0.00029	0.0053	Abnormal number of teeth
HPO	22	0.0003	0.0056	Abnormality of coordination
HPO	12	0.00031	0.0058	Dyspnea
DISEASES	5	8.6e-05	0.006	Cholangiocarcinoma
HPO	3	0.00034	0.0061	Delayed eruption of primary teeth
HPO	6	0.00033	0.0061	Renal hypoplasia
HPO	11	0.00034	0.0062	Abnormality of the scalp hair
WikiPathways	4	0.00041	0.0062	Tumor suppressor activity of SMARCB1
WikiPathways	6	0.00042	0.0063	Androgen receptor signaling pathway
HPO	6	0.00035	0.0064	Horseshoe kidney
HPO	4	0.00036	0.0066	Reduced subcutaneous adipose tissue
HPO	4	0.00036	0.0066	Glioma
Function	3	0.00016	0.0068	5-3 exodeoxyribonuclease activity
DISEASES	4	0.00011	0.0071	Chronic progressive external ophthalmoplegia
HPO	8	0.0004	0.0072	Renal agenesis
Function	15	0.00017	0.0072	DNA-binding transcription factor binding
HPO	10	0.0004	0.0072	Fatigue
HPO	5	0.0004	0.0072	Nevus count
HPO	4	0.00041	0.0073	B lymphocytopenia
WikiPathways	4	0.0005	0.0074	Fluoropyrimidine activity
HPO	10	0.00045	0.008	Abnormal rib morphology
HPO	13	0.00046	0.0082	Abnormality of upper limb joint
WikiPathways	2	0.0006	0.0086	Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer
WikiPathways	3	0.00061	0.0087	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity
HPO	4	0.0005	0.009	Nephroblastoma
HPO	3	0.00051	0.009	Pelvic kidney
HPO	15	0.0005	0.009	Pain
DISEASES	5	0.00016	0.0097	Melanoma
DISEASES	3	0.00016	0.0097	Trichothiodystrophy
DISEASES	6	0.00017	0.01	Male reproductive organ cancer
HPO	5	0.00057	0.0101	Chronic diarrhea
HPO	6	0.00058	0.0102	Decreased nerve conduction velocity
HPO	6	0.00058	0.0102	Choreoathetosis
WikiPathways	4	0.00075	0.0105	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome
HPO	3	0.00061	0.0108	Absent earlobe
HPO	3	0.00061	0.0108	Absence of subcutaneous fat
HPO	7	0.00062	0.0108	Abnormal thyroid morphology
HPO	4	0.00062	0.0109	Long nose
HPO	6	0.00064	0.0112	Renal neoplasm
Function	3	0.00027	0.0115	TFIID-class transcription factor complex binding
Function	3	0.00027	0.0115	G-rich strand telomeric DNA binding
WikiPathways	3	0.00086	0.0118	ID signaling pathway
HPO	15	0.00069	0.012	Respiratory tract infection
HPO	11	0.0007	0.0122	Posteriorly rotated ears
HPO	9	0.0007	0.0123	Abnormality of the calf
HPO	8	0.00072	0.0125	Respiratory distress
HPO	4	0.00075	0.013	Abnormal epiphysis morphology of the phalanges of the hand
HPO	6	0.00074	0.013	Abnormal nerve conduction velocity
HPO	14	0.00076	0.0131	Abnormal myelination
Function	4	0.00032	0.0137	Cyclin-dependent protein serine/threonine kinase activity
Function	12	0.00034	0.0141	RNA polymerase II-specific DNA-binding transcription factor binding
HPO	4	0.00082	0.0142	Male hypogonadism
HPO	6	0.00082	0.0142	Skin rash
HPO	4	0.00082	0.0142	Basal ganglia calcification
HPO	11	0.00082	0.0142	Abnormality of mouth size
HPO	4	0.00082	0.0142	Abnormal astrocyte morphology
HPO	7	0.00085	0.0146	Sarcoma
HPO	3	0.00086	0.0148	Anodontia
HPO	28	0.00086	0.0148	Abdominal symptom
HPO	7	0.00088	0.0151	Abnormality of corneal size
DISEASES	5	0.00027	0.0155	Prostate cancer
HPO	9	0.00091	0.0156	Hyperkeratosis
HPO	6	0.00095	0.0161	Hypotelorism
HPO	8	0.00096	0.0164	Gait ataxia
HPO	10	0.00097	0.0165	Abnormality of dental structure
HPO	2	0.00099	0.0167	Thymic hormone decreased
HPO	2	0.00099	0.0167	Subcortical white matter calcifications
HPO	3	0.001	0.017	Dry hair
HPO	11	0.001	0.0171	Cerebellar atrophy
Function	3	0.00042	0.0173	RNA polymerase II CTD heptapeptide repeat kinase activity
HPO	19	0.001	0.0176	Abnormal retinal morphology
HPO	4	0.0011	0.018	Urticaria
HPO	4	0.0011	0.018	Gaze-evoked nystagmus
WikiPathways	5	0.0013	0.0181	Joubert syndrome
DISEASES	4	0.00032	0.0183	Breast carcinoma
HPO	7	0.0011	0.0187	Abnormal bronchus morphology
Function	5	0.00046	0.0189	Basal RNA polymerase II transcription machinery binding
WikiPathways	4	0.0015	0.0195	Aryl hydrocarbon receptor pathway
Function	97	0.00048	0.0195	Protein binding
HPO	3	0.0012	0.0196	Medulloblastoma
HPO	8	0.0012	0.0196	Ectopic calcification
HPO	3	0.0012	0.0196	Severe combined immunodeficiency
HPO	7	0.0012	0.0199	Abnormal nasopharynx morphology
HPO	66	0.0012	0.0204	Hematological measurement
HPO	11	0.0012	0.0206	Epidermal thickening
HPO	4	0.0013	0.0209	Abnormality of the radial head
HPO	4	0.0013	0.0209	Confusion
HPO	5	0.0013	0.0211	Postural instability
HPO	13	0.0013	0.0215	Recurrent respiratory infections
HPO	3	0.0013	0.0221	Bronchomalacia
HPO	5	0.0013	0.0222	Sensorimotor neuropathy
DISEASES	3	0.00042	0.023	Seckel syndrome
HPO	8	0.0014	0.0231	Abnormal metaphysis morphology
Function	2	0.0006	0.0239	DNA clamp unloader activity
Function	2	0.0006	0.0239	Purine-specific mismatch base pair DNA N-glycosylase activity
WikiPathways	4	0.0018	0.0239	Hepatitis C and hepatocellular carcinoma
Function	2	0.0006	0.0239	Telomeric G-quadruplex DNA binding
Function	2	0.0006	0.0239	MutLbeta complex binding
Function	2	0.0006	0.0239	Site-specific endodeoxyribonuclease activity, specific for altered base
Function	2	0.0006	0.0239	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
Function	2	0.0006	0.0239	DNA end binding
Function	2	0.0006	0.0239	Polynucleotide 3-phosphatase activity
Function	2	0.0006	0.0239	Forked DNA-dependent helicase activity
Function	5	0.00061	0.0239	Promoter-specific chromatin binding
Function	2	0.0006	0.0239	FHA domain binding
Function	2	0.0006	0.0239	MutSbeta complex binding
HPO	2	0.0015	0.0242	Small anterior fontanelle
WikiPathways	3	0.002	0.025	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence
WikiPathways	3	0.002	0.025	Progeria-associated lipodystrophy
HPO	3	0.0015	0.0251	Hodgkin lymphoma
HPO	3	0.0015	0.0251	Abnormal femoral metaphysis morphology
HPO	3	0.0015	0.0251	Panhypogammaglobulinemia
HPO	3	0.0015	0.0251	Vitiligo
HPO	7	0.0015	0.0251	Abnormality of hair texture
HPO	17	0.0016	0.0256	Eosinophil count
HPO	4	0.0016	0.0259	Dysdiadochokinesis
HPO	4	0.0016	0.0259	Breast hypoplasia
HPO	4	0.0017	0.0277	Keratinocyte carcinoma
DISEASES	3	0.00051	0.0278	In situ carcinoma
HPO	5	0.0018	0.0284	Intention tremor
HPO	17	0.0018	0.0287	Abnormal thorax morphology
HPO	9	0.0018	0.0293	Abnormality of the pituitary gland
HPO	13	0.0019	0.0298	Tremor
HPO	6	0.0019	0.0301	Cerebral calcification
HPO	6	0.0019	0.0301	Autoimmunity
HPO	6	0.0019	0.0301	Abnormal temporal lobe morphology
WikiPathways	3	0.0024	0.0304	miRNA regulation of p53 pathway in prostate cancer
HPO	3	0.002	0.0312	Ridged nail
HPO	4	0.002	0.0314	Pathologic fracture
HPO	4	0.002	0.0314	Recurrent viral infections
HPO	8	0.002	0.0314	Thick vermilion border
HPO	31	0.002	0.032	Abnormality of digestive system physiology
HPO	6	0.002	0.0322	Arthralgia
DISEASES	4	0.00062	0.0322	Severe combined immunodeficiency
DISEASES	2	0.0006	0.0322	Familial retinoblastoma
DISEASES	2	0.0006	0.0322	Obsolete papillomavirus infectious disease
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group Q
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group I
DISEASES	2	0.0006	0.0322	Xeroderma pigmentosum group B
DISEASES	2	0.0006	0.0322	Meier-Gorlin syndrome 5
DISEASES	2	0.0006	0.0322	XFE progeroid syndrome
DISEASES	2	0.0006	0.0322	Fanconi anemia complementation group T
HPO	2	0.002	0.0323	Absent sternal ossification
WikiPathways	2	0.0027	0.033	lncRNA-mediated mechanisms of therapeutic resistance
WikiPathways	2	0.0027	0.033	Metastatic brain tumor
HPO	6	0.0021	0.0334	Aminoaciduria
HPO	4	0.0021	0.0334	Mild global developmental delay
HPO	6	0.0022	0.0344	Microcornea
HPO	3	0.0022	0.0344	Abnormal auditory evoked potentials
HPO	3	0.0022	0.0344	Bilateral microphthalmos
WikiPathways	4	0.0029	0.0346	Overlap between signal transduction pathways contributing to LMNA laminopathies
Function	5	0.00095	0.0348	p53 binding
HPO	10	0.0022	0.0351	Abnormality of the thyroid gland
WikiPathways	6	0.0031	0.0356	Measles virus infection
Function	2	0.00099	0.0357	DNA polymerase processivity factor activity
Function	2	0.00099	0.0357	8-hydroxy-2-deoxyguanosine DNA binding
Function	2	0.00099	0.0357	NAD DNA ADP-ribosyltransferase activity
Function	2	0.00099	0.0357	Flap-structured DNA binding
Function	2	0.00099	0.0357	DNA insertion or deletion binding
HPO	7	0.0024	0.0376	Peripheral axonal degeneration
HPO	4	0.0024	0.0377	Abnormal T cell subset distribution
HPO	4	0.0024	0.0377	Erythroderma
HPO	3	0.0024	0.038	Endometrial carcinoma
HPO	10	0.0024	0.038	Gastroesophageal reflux
HPO	3	0.0024	0.038	Keratoconjunctivitis sicca
HPO	6	0.0025	0.0381	Athetosis
